GeneID,TranscriptID,GC
ENSOANG00000005309,ENSOANT00000008457,41.64
ENSOANG00000003797,ENSOANT00000006023,39.92
ENSOANG00000011077,ENSOANT00000017547,51.11
ENSOANG00000029933,ENSOANT00000041739,39.44
ENSOANG00000028287,ENSOANT00000040524,59.72
ENSOANG00000032305,ENSOANT00000041971,55.66
ENSOANG00000002993,ENSOANT00000004746,53.21
ENSOANG00000028962,ENSOANT00000039388,51.77
ENSOANG00000011218,ENSOANT00000017776,66.67
ENSOANG00000030233,ENSOANT00000041624,50.91
ENSOANG00000022146,ENSOANT00000032044,55.90
ENSOANG00000020554,ENSOANT00000029944,57.31
ENSOANG00000003040,ENSOANT00000004815,65.09
ENSOANG00000011892,ENSOANT00000018852,69.84
ENSOANG00000030174,ENSOANT00000041015,59.86
ENSOANG00000011994,ENSOANT00000019002,53.07
ENSOANG00000013890,ENSOANT00000021905,72.10
ENSOANG00000012541,ENSOANT00000019838,48.85
ENSOANG00000021600,ENSOANT00000031304,51.84
ENSOANG00000006251,ENSOANT00000010006,58.91
ENSOANG00000019806,ENSOANT00000028925,49.60
ENSOANG00000019806,ENSOANT00000028924,49.60
ENSOANG00000006252,ENSOANT00000010007,64.49
ENSOANG00000006253,ENSOANT00000010008,64.75
ENSOANG00000010304,ENSOANT00000016355,57.11
ENSOANG00000010304,ENSOANT00000016356,57.11
ENSOANG00000008670,ENSOANT00000013812,64.34
ENSOANG00000028773,ENSOANT00000040519,58.74
ENSOANG00000011883,ENSOANT00000018840,51.74
ENSOANG00000006347,ENSOANT00000010139,55.88
ENSOANG00000013077,ENSOANT00000020676,48.65
ENSOANG00000028376,ENSOANT00000040088,56.96
ENSOANG00000028520,ENSOANT00000039715,42.10
ENSOANG00000021031,ENSOANT00000030570,43.76
ENSOANG00000001880,ENSOANT00000002984,51.77
ENSOANG00000030413,ENSOANT00000041995,45.24
ENSOANG00000007055,ENSOANT00000011231,55.38
ENSOANG00000009436,ENSOANT00000015001,56.69
ENSOANG00000028316,ENSOANT00000039462,56.76
ENSOANG00000009437,ENSOANT00000015002,65.75
ENSOANG00000004429,ENSOANT00000007018,65.71
ENSOANG00000020974,ENSOANT00000030492,64.55
ENSOANG00000008980,ENSOANT00000014302,48.08
ENSOANG00000004430,ENSOANT00000007020,64.99
ENSOANG00000009234,ENSOANT00000014704,44.63
ENSOANG00000009234,ENSOANT00000014705,44.63
ENSOANG00000006551,ENSOANT00000010457,56.26
ENSOANG00000032124,ENSOANT00000038445,64.66
ENSOANG00000004168,ENSOANT00000006620,48.36
ENSOANG00000008849,ENSOANT00000014088,45.08
ENSOANG00000014816,ENSOANT00000023337,49.49
ENSOANG00000014816,ENSOANT00000028935,49.49
ENSOANG00000029076,ENSOANT00000041447,61.12
ENSOANG00000009988,ENSOANT00000015836,56.09
ENSOANG00000006320,ENSOANT00000010104,66.99
ENSOANG00000014817,ENSOANT00000023339,54.04
ENSOANG00000019814,ENSOANT00000023338,59.48
ENSOANG00000006322,ENSOANT00000010106,61.19
ENSOANG00000005638,ENSOANT00000008972,48.54
ENSOANG00000002820,ENSOANT00000004485,40.97
ENSOANG00000007123,ENSOANT00000011333,60.04
ENSOANG00000002679,ENSOANT00000004264,58.94
ENSOANG00000002679,ENSOANT00000004266,58.94
ENSOANG00000009785,ENSOANT00000015523,50.90
ENSOANG00000000973,ENSOANT00000001540,41.84
ENSOANG00000029122,ENSOANT00000042389,47.63
ENSOANG00000008255,ENSOANT00000013119,48.91
ENSOANG00000028703,ENSOANT00000038882,44.61
ENSOANG00000003979,ENSOANT00000006302,70.82
ENSOANG00000003397,ENSOANT00000005392,63.73
ENSOANG00000006983,ENSOANT00000011128,45.34
ENSOANG00000032075,ENSOANT00000040043,58.92
ENSOANG00000014661,ENSOANT00000023102,59.61
ENSOANG00000006705,ENSOANT00000010706,61.59
ENSOANG00000020696,ENSOANT00000030131,48.76
ENSOANG00000009701,ENSOANT00000015399,55.39
ENSOANG00000006623,ENSOANT00000010564,55.91
ENSOANG00000015367,ENSOANT00000024180,51.52
ENSOANG00000015376,ENSOANT00000024194,60.95
ENSOANG00000015377,ENSOANT00000024195,53.27
ENSOANG00000012858,ENSOANT00000020340,59.37
ENSOANG00000012859,ENSOANT00000020342,60.32
ENSOANG00000031098,ENSOANT00000039221,42.40
ENSOANG00000012684,ENSOANT00000020075,42.79
ENSOANG00000029912,ENSOANT00000040507,71.43
ENSOANG00000022537,ENSOANT00000032575,67.18
ENSOANG00000028816,ENSOANT00000042269,63.99
ENSOANG00000001520,ENSOANT00000002424,44.99
ENSOANG00000021048,ENSOANT00000030588,60.75
ENSOANG00000019992,ENSOANT00000029179,44.76
ENSOANG00000019992,ENSOANT00000029180,44.76
ENSOANG00000021578,ENSOANT00000031271,52.94
ENSOANG00000004847,ENSOANT00000007682,52.62
ENSOANG00000004847,ENSOANT00000007683,52.62
ENSOANG00000002140,ENSOANT00000003396,51.07
ENSOANG00000002140,ENSOANT00000003395,51.07
ENSOANG00000008950,ENSOANT00000014258,72.16
ENSOANG00000021140,ENSOANT00000030710,39.32
ENSOANG00000011390,ENSOANT00000018052,53.84
ENSOANG00000030399,ENSOANT00000041814,41.44
ENSOANG00000011391,ENSOANT00000018054,47.89
ENSOANG00000003634,ENSOANT00000005766,56.72
ENSOANG00000028791,ENSOANT00000040040,41.74
ENSOANG00000004820,ENSOANT00000007632,51.65
ENSOANG00000004842,ENSOANT00000007673,61.67
ENSOANG00000028420,ENSOANT00000041256,50.46
ENSOANG00000000619,ENSOANT00000000974,52.08
ENSOANG00000005720,ENSOANT00000009107,51.54
ENSOANG00000010664,ENSOANT00000016915,61.10
ENSOANG00000012203,ENSOANT00000019320,67.10
ENSOANG00000020777,ENSOANT00000030230,48.45
ENSOANG00000029596,ENSOANT00000039484,60.45
ENSOANG00000010774,ENSOANT00000017082,45.92
ENSOANG00000022068,ENSOANT00000031939,44.68
ENSOANG00000014811,ENSOANT00000023332,56.78
ENSOANG00000013958,ENSOANT00000022004,46.38
ENSOANG00000013957,ENSOANT00000022003,57.32
ENSOANG00000010280,ENSOANT00000016319,43.39
ENSOANG00000029908,ENSOANT00000038782,51.94
ENSOANG00000029210,ENSOANT00000039950,67.05
ENSOANG00000008152,ENSOANT00000012951,60.86
ENSOANG00000006693,ENSOANT00000010684,55.00
ENSOANG00000021237,ENSOANT00000030831,61.45
ENSOANG00000007150,ENSOANT00000011380,56.12
ENSOANG00000031350,ENSOANT00000041033,47.72
ENSOANG00000032191,ENSOANT00000038642,55.58
ENSOANG00000014603,ENSOANT00000023008,51.55
ENSOANG00000012014,ENSOANT00000019029,50.78
ENSOANG00000032049,ENSOANT00000039795,54.17
ENSOANG00000009741,ENSOANT00000015457,51.62
ENSOANG00000009742,ENSOANT00000015458,45.56
ENSOANG00000010393,ENSOANT00000016484,54.85
ENSOANG00000012528,ENSOANT00000019818,54.23
ENSOANG00000010666,ENSOANT00000030190,49.78
ENSOANG00000028633,ENSOANT00000041295,50.90
ENSOANG00000010668,ENSOANT00000016919,50.01
ENSOANG00000007052,ENSOANT00000011226,53.25
ENSOANG00000029613,ENSOANT00000039976,57.77
ENSOANG00000020405,ENSOANT00000029744,47.04
ENSOANG00000022026,ENSOANT00000031882,49.45
ENSOANG00000006583,ENSOANT00000010503,47.46
ENSOANG00000009453,ENSOANT00000030529,65.61
ENSOANG00000021566,ENSOANT00000031259,43.64
ENSOANG00000009454,ENSOANT00000015026,68.07
ENSOANG00000004652,ENSOANT00000007375,64.74
ENSOANG00000009784,ENSOANT00000015522,60.49
ENSOANG00000004497,ENSOANT00000007132,59.54
ENSOANG00000002233,ENSOANT00000003541,52.02
ENSOANG00000001969,ENSOANT00000003125,71.53
ENSOANG00000013016,ENSOANT00000029579,55.42
ENSOANG00000011230,ENSOANT00000017791,60.35
ENSOANG00000004760,ENSOANT00000007535,50.04
ENSOANG00000022333,ENSOANT00000032300,44.83
ENSOANG00000020817,ENSOANT00000030288,44.54
ENSOANG00000021978,ENSOANT00000031823,48.21
ENSOANG00000021978,ENSOANT00000031822,48.21
ENSOANG00000012802,ENSOANT00000020261,53.62
ENSOANG00000000236,ENSOANT00000000409,53.55
ENSOANG00000002010,ENSOANT00000003189,52.82
ENSOANG00000002010,ENSOANT00000003190,52.82
ENSOANG00000028915,ENSOANT00000041325,42.33
ENSOANG00000020062,ENSOANT00000020777,57.06
ENSOANG00000028499,ENSOANT00000041152,51.41
ENSOANG00000021079,ENSOANT00000030621,51.01
ENSOANG00000003309,ENSOANT00000005247,41.99
ENSOANG00000002541,ENSOANT00000004022,52.54
ENSOANG00000003310,ENSOANT00000005252,45.48
ENSOANG00000020038,ENSOANT00000029246,57.17
ENSOANG00000002542,ENSOANT00000004025,53.31
ENSOANG00000002690,ENSOANT00000004288,60.25
ENSOANG00000003312,ENSOANT00000005256,44.60
ENSOANG00000003313,ENSOANT00000005258,41.55
ENSOANG00000003314,ENSOANT00000005259,42.61
ENSOANG00000004069,ENSOANT00000006462,50.72
ENSOANG00000021233,ENSOANT00000030825,47.23
ENSOANG00000015205,ENSOANT00000023946,64.71
ENSOANG00000003315,ENSOANT00000005261,45.57
ENSOANG00000003316,ENSOANT00000005263,41.72
ENSOANG00000015206,ENSOANT00000023948,60.63
ENSOANG00000020746,ENSOANT00000030191,50.09
ENSOANG00000031916,ENSOANT00000038885,64.43
ENSOANG00000009554,ENSOANT00000015172,45.81
ENSOANG00000009598,ENSOANT00000015248,50.53
ENSOANG00000013831,ENSOANT00000021808,58.38
ENSOANG00000001132,ENSOANT00000001802,56.06
ENSOANG00000001132,ENSOANT00000001801,56.06
ENSOANG00000000270,ENSOANT00000000462,54.01
ENSOANG00000021909,ENSOANT00000031727,49.05
ENSOANG00000006195,ENSOANT00000009905,42.83
ENSOANG00000006197,ENSOANT00000009907,45.02
ENSOANG00000015109,ENSOANT00000023797,40.64
ENSOANG00000015110,ENSOANT00000023799,42.41
ENSOANG00000015111,ENSOANT00000023800,40.72
ENSOANG00000007073,ENSOANT00000011256,48.90
ENSOANG00000007073,ENSOANT00000031124,48.90
ENSOANG00000015112,ENSOANT00000023802,41.41
ENSOANG00000015113,ENSOANT00000023803,42.90
ENSOANG00000015114,ENSOANT00000023804,42.36
ENSOANG00000005207,ENSOANT00000008274,44.38
ENSOANG00000015115,ENSOANT00000023806,41.52
ENSOANG00000015115,ENSOANT00000023805,41.52
ENSOANG00000003157,ENSOANT00000005005,49.35
ENSOANG00000003152,ENSOANT00000004998,40.73
ENSOANG00000015116,ENSOANT00000023807,39.39
ENSOANG00000015117,ENSOANT00000023815,41.74
ENSOANG00000003154,ENSOANT00000005000,57.61
ENSOANG00000015120,ENSOANT00000023820,39.81
ENSOANG00000003155,ENSOANT00000005002,46.39
ENSOANG00000014906,ENSOANT00000023468,54.89
ENSOANG00000015123,ENSOANT00000023824,40.22
ENSOANG00000020082,ENSOANT00000029302,42.99
ENSOANG00000031089,ENSOANT00000039654,40.97
ENSOANG00000020039,ENSOANT00000029248,43.10
ENSOANG00000015125,ENSOANT00000023825,41.44
ENSOANG00000028553,ENSOANT00000041356,55.38
ENSOANG00000006229,ENSOANT00000009967,41.75
ENSOANG00000020627,ENSOANT00000030038,47.48
ENSOANG00000020627,ENSOANT00000030037,47.48
ENSOANG00000006227,ENSOANT00000009966,44.90
ENSOANG00000002249,ENSOANT00000003565,42.94
ENSOANG00000030811,ENSOANT00000042253,34.21
ENSOANG00000020642,ENSOANT00000030062,45.08
ENSOANG00000028826,ENSOANT00000039945,51.46
ENSOANG00000005137,ENSOANT00000008160,49.11
ENSOANG00000006226,ENSOANT00000009962,48.66
ENSOANG00000006219,ENSOANT00000009954,45.83
ENSOANG00000029128,ENSOANT00000039385,34.09
ENSOANG00000030388,ENSOANT00000041524,54.57
ENSOANG00000009113,ENSOANT00000014511,53.86
ENSOANG00000009114,ENSOANT00000014514,64.26
ENSOANG00000029714,ENSOANT00000039912,67.70
ENSOANG00000009528,ENSOANT00000015129,70.85
ENSOANG00000006163,ENSOANT00000009851,43.10
ENSOANG00000006213,ENSOANT00000009941,49.87
ENSOANG00000006213,ENSOANT00000009947,49.87
ENSOANG00000013592,ENSOANT00000021436,51.74
ENSOANG00000007159,ENSOANT00000011398,47.42
ENSOANG00000009890,ENSOANT00000015684,57.92
ENSOANG00000006212,ENSOANT00000009936,53.61
ENSOANG00000009885,ENSOANT00000015680,47.38
ENSOANG00000003590,ENSOANT00000005695,48.91
ENSOANG00000003590,ENSOANT00000005694,48.91
ENSOANG00000005979,ENSOANT00000009516,52.88
ENSOANG00000014362,ENSOANT00000032031,53.58
ENSOANG00000009887,ENSOANT00000015682,56.47
ENSOANG00000003589,ENSOANT00000005693,46.47
ENSOANG00000005603,ENSOANT00000008917,43.39
ENSOANG00000030737,ENSOANT00000015677,51.77
ENSOANG00000005602,ENSOANT00000008915,48.27
ENSOANG00000009884,ENSOANT00000015676,48.01
ENSOANG00000005601,ENSOANT00000008914,49.51
ENSOANG00000009880,ENSOANT00000015670,46.59
ENSOANG00000005600,ENSOANT00000008913,45.24
ENSOANG00000029779,ENSOANT00000041558,68.37
ENSOANG00000011492,ENSOANT00000018212,46.51
ENSOANG00000011493,ENSOANT00000018213,50.33
ENSOANG00000011494,ENSOANT00000018214,56.26
ENSOANG00000030227,ENSOANT00000041034,40.97
ENSOANG00000011495,ENSOANT00000018215,44.67
ENSOANG00000003214,ENSOANT00000005102,47.39
ENSOANG00000030860,ENSOANT00000039199,68.33
ENSOANG00000021216,ENSOANT00000030805,34.55
ENSOANG00000012484,ENSOANT00000019751,41.58
ENSOANG00000029673,ENSOANT00000039383,41.42
ENSOANG00000008639,ENSOANT00000013770,55.88
ENSOANG00000009878,ENSOANT00000015668,46.43
ENSOANG00000005209,ENSOANT00000008278,45.68
ENSOANG00000009877,ENSOANT00000015666,43.64
ENSOANG00000007439,ENSOANT00000011849,51.46
ENSOANG00000009876,ENSOANT00000015665,46.32
ENSOANG00000007440,ENSOANT00000030802,60.18
ENSOANG00000007440,ENSOANT00000011850,60.18
ENSOANG00000002834,ENSOANT00000004506,43.98
ENSOANG00000032263,ENSOANT00000041659,54.57
ENSOANG00000002833,ENSOANT00000004505,43.51
ENSOANG00000021219,ENSOANT00000030808,49.33
ENSOANG00000007441,ENSOANT00000011851,48.98
ENSOANG00000031432,ENSOANT00000041899,45.72
ENSOANG00000007442,ENSOANT00000011852,43.77
ENSOANG00000002831,ENSOANT00000004504,43.84
ENSOANG00000007443,ENSOANT00000011855,40.07
ENSOANG00000002830,ENSOANT00000004501,45.28
ENSOANG00000002826,ENSOANT00000004496,43.16
ENSOANG00000004197,ENSOANT00000006667,43.85
ENSOANG00000004196,ENSOANT00000006664,41.79
ENSOANG00000004742,ENSOANT00000007508,48.39
ENSOANG00000004195,ENSOANT00000006662,45.45
ENSOANG00000004743,ENSOANT00000007511,70.30
ENSOANG00000004743,ENSOANT00000007509,70.30
ENSOANG00000002941,ENSOANT00000004673,41.59
ENSOANG00000004194,ENSOANT00000006661,55.14
ENSOANG00000029850,ENSOANT00000040782,38.52
ENSOANG00000007444,ENSOANT00000011856,43.99
ENSOANG00000004193,ENSOANT00000006658,43.29
ENSOANG00000007445,ENSOANT00000011859,41.69
ENSOANG00000007448,ENSOANT00000011866,47.59
ENSOANG00000004192,ENSOANT00000006657,41.87
ENSOANG00000021215,ENSOANT00000030800,43.69
ENSOANG00000004191,ENSOANT00000006654,53.62
ENSOANG00000007453,ENSOANT00000011867,43.45
ENSOANG00000007453,ENSOANT00000011868,43.45
ENSOANG00000007454,ENSOANT00000011869,45.08
ENSOANG00000028890,ENSOANT00000041710,45.25
ENSOANG00000010671,ENSOANT00000016926,60.16
ENSOANG00000031740,ENSOANT00000040239,55.49
ENSOANG00000000824,ENSOANT00000001281,65.36
ENSOANG00000028702,ENSOANT00000042417,41.55
ENSOANG00000000825,ENSOANT00000001282,53.05
ENSOANG00000012152,ENSOANT00000019251,48.21
ENSOANG00000022346,ENSOANT00000032316,38.75
ENSOANG00000029515,ENSOANT00000042148,46.71
ENSOANG00000021209,ENSOANT00000030795,39.14
ENSOANG00000007455,ENSOANT00000011871,40.98
ENSOANG00000019872,ENSOANT00000029017,44.08
ENSOANG00000014484,ENSOANT00000022833,39.91
ENSOANG00000021208,ENSOANT00000030793,58.00
ENSOANG00000021652,ENSOANT00000031377,44.58
ENSOANG00000014482,ENSOANT00000022832,40.05
ENSOANG00000014392,ENSOANT00000022686,58.89
ENSOANG00000014392,ENSOANT00000022687,58.89
ENSOANG00000014480,ENSOANT00000022827,43.37
ENSOANG00000014479,ENSOANT00000022826,42.96
ENSOANG00000014393,ENSOANT00000022688,63.84
ENSOANG00000014478,ENSOANT00000022825,43.41
ENSOANG00000007850,ENSOANT00000012507,57.68
ENSOANG00000001549,ENSOANT00000002466,49.44
ENSOANG00000031558,ENSOANT00000042093,43.38
ENSOANG00000007811,ENSOANT00000012445,44.15
ENSOANG00000007811,ENSOANT00000012446,44.15
ENSOANG00000031198,ENSOANT00000039623,51.67
ENSOANG00000007812,ENSOANT00000012447,58.46
ENSOANG00000008229,ENSOANT00000013074,42.09
ENSOANG00000008227,ENSOANT00000013072,44.20
ENSOANG00000008226,ENSOANT00000013071,49.34
ENSOANG00000009694,ENSOANT00000015391,39.19
ENSOANG00000009694,ENSOANT00000015390,39.19
ENSOANG00000022086,ENSOANT00000031964,43.77
ENSOANG00000022086,ENSOANT00000031963,43.77
ENSOANG00000014970,ENSOANT00000023569,39.77
ENSOANG00000021204,ENSOANT00000030788,42.45
ENSOANG00000010110,ENSOANT00000016032,54.92
ENSOANG00000014975,ENSOANT00000023574,44.63
ENSOANG00000014977,ENSOANT00000023575,42.31
ENSOANG00000014978,ENSOANT00000023578,42.48
ENSOANG00000014978,ENSOANT00000023579,42.48
ENSOANG00000002464,ENSOANT00000003905,56.10
ENSOANG00000002465,ENSOANT00000003907,67.00
ENSOANG00000015648,ENSOANT00000024671,39.97
ENSOANG00000015650,ENSOANT00000024673,42.18
ENSOANG00000015651,ENSOANT00000024674,43.22
ENSOANG00000015652,ENSOANT00000024679,39.21
ENSOANG00000012766,ENSOANT00000020207,51.33
ENSOANG00000015656,ENSOANT00000024684,39.85
ENSOANG00000022052,ENSOANT00000031914,50.99
ENSOANG00000015659,ENSOANT00000024686,38.05
ENSOANG00000015661,ENSOANT00000024689,41.44
ENSOANG00000015661,ENSOANT00000024687,41.44
ENSOANG00000004082,ENSOANT00000006482,60.65
ENSOANG00000031941,ENSOANT00000040356,45.74
ENSOANG00000015662,ENSOANT00000024688,39.40
ENSOANG00000004083,ENSOANT00000006483,60.06
ENSOANG00000015664,ENSOANT00000030777,42.14
ENSOANG00000000344,ENSOANT00000000571,64.57
ENSOANG00000031094,ENSOANT00000040300,58.05
ENSOANG00000015665,ENSOANT00000024697,40.35
ENSOANG00000015669,ENSOANT00000024701,39.79
ENSOANG00000002005,ENSOANT00000003182,50.01
ENSOANG00000015672,ENSOANT00000024706,53.57
ENSOANG00000015079,ENSOANT00000023741,43.11
ENSOANG00000015080,ENSOANT00000023744,41.61
ENSOANG00000015674,ENSOANT00000024707,41.66
ENSOANG00000002006,ENSOANT00000003183,48.71
ENSOANG00000002006,ENSOANT00000003184,48.71
ENSOANG00000009703,ENSOANT00000015401,57.61
ENSOANG00000015081,ENSOANT00000023746,41.28
ENSOANG00000015083,ENSOANT00000023749,41.41
ENSOANG00000009447,ENSOANT00000015018,50.32
ENSOANG00000019851,ENSOANT00000028985,51.23
ENSOANG00000008015,ENSOANT00000012747,66.99
ENSOANG00000009446,ENSOANT00000015013,48.71
ENSOANG00000009445,ENSOANT00000015010,45.83
ENSOANG00000021298,ENSOANT00000030902,63.01
ENSOANG00000015085,ENSOANT00000023755,42.44
ENSOANG00000010996,ENSOANT00000017424,42.58
ENSOANG00000022681,ENSOANT00000032774,40.55
ENSOANG00000022680,ENSOANT00000032773,39.31
ENSOANG00000001363,ENSOANT00000002168,40.90
ENSOANG00000011369,ENSOANT00000018020,40.10
ENSOANG00000021090,ENSOANT00000030634,43.10
ENSOANG00000015702,ENSOANT00000028834,44.96
ENSOANG00000031868,ENSOANT00000039252,52.59
ENSOANG00000009476,ENSOANT00000015058,43.27
ENSOANG00000029045,ENSOANT00000042414,41.54
ENSOANG00000030463,ENSOANT00000038989,60.55
ENSOANG00000031435,ENSOANT00000040847,71.79
ENSOANG00000031805,ENSOANT00000038461,64.58
ENSOANG00000009477,ENSOANT00000031105,42.79
ENSOANG00000028419,ENSOANT00000040272,44.12
ENSOANG00000009478,ENSOANT00000015061,41.41
ENSOANG00000003402,ENSOANT00000005398,41.54
ENSOANG00000009479,ENSOANT00000015062,43.55
ENSOANG00000005966,ENSOANT00000009499,52.34
ENSOANG00000005966,ENSOANT00000009500,52.34
ENSOANG00000022372,ENSOANT00000032351,50.43
ENSOANG00000015166,ENSOANT00000023883,68.00
ENSOANG00000009481,ENSOANT00000015065,43.15
ENSOANG00000022224,ENSOANT00000032152,41.06
ENSOANG00000004255,ENSOANT00000006761,52.41
ENSOANG00000010021,ENSOANT00000015892,61.41
ENSOANG00000008081,ENSOANT00000012853,45.53
ENSOANG00000010022,ENSOANT00000015894,56.67
ENSOANG00000010023,ENSOANT00000015896,55.39
ENSOANG00000013491,ENSOANT00000021287,43.29
ENSOANG00000014355,ENSOANT00000022634,56.11
ENSOANG00000014358,ENSOANT00000022639,50.10
ENSOANG00000008080,ENSOANT00000012847,42.86
ENSOANG00000003939,ENSOANT00000006231,45.33
ENSOANG00000005120,ENSOANT00000008131,49.57
ENSOANG00000005120,ENSOANT00000008130,49.57
ENSOANG00000019739,ENSOANT00000020269,55.87
ENSOANG00000007038,ENSOANT00000011207,44.50
ENSOANG00000003940,ENSOANT00000006234,43.98
ENSOANG00000013888,ENSOANT00000021903,58.08
ENSOANG00000003015,ENSOANT00000004779,59.29
ENSOANG00000003941,ENSOANT00000006236,48.52
ENSOANG00000003942,ENSOANT00000006237,48.31
ENSOANG00000003942,ENSOANT00000006238,48.31
ENSOANG00000014946,ENSOANT00000023536,57.69
ENSOANG00000003016,ENSOANT00000004780,62.68
ENSOANG00000003016,ENSOANT00000004781,62.68
ENSOANG00000011628,ENSOANT00000018425,67.88
