default,student,balance,income
No,No,990.56,41690
No,No,590.39,42760
No,Yes,715.16,21150
No,No,1540.37,41850
No,No,1243.32,41630
No,Yes,235.32,20900
No,No,528.25,49390
No,No,592.25,30730
No,No,705.20,42680
No,No,456.51,48190
No,Yes,470.71,18050
No,Yes,1503.07,10600
No,No,1362.96,44210
No,No,908.77,45030
No,Yes,1096.82,16140
No,No,369.22,47830
No,No,673.39,50250
No,No,1038.50,51170
No,No,0,28760
No,No,527.19,32430
No,No,817.46,32970
No,Yes,1549.04,19700
No,Yes,566.71,11850
No,No,1496.05,24930
No,No,862.65,42840
No,No,1259.14,31260
No,No,1025.03,43510
No,Yes,703.27,14790
No,Yes,1082.39,15170
No,No,910.44,44050
No,Yes,996.54,16990
No,No,353.77,58510
No,Yes,782.71,13300
No,No,1716.59,51050
No,Yes,502.89,15150
No,No,1033.46,59200
No,No,0,34920
No,Yes,1087.08,19260
No,No,1047.24,43890
No,No,1056.92,38360
No,Yes,979.22,26010
No,Yes,847.81,15970
No,No,781.77,50950
No,Yes,402.48,15900
No,No,204.74,17530
No,Yes,2022.67,18330
No,No,748.93,44180
No,No,838.27,35910
No,No,386.01,44690
No,No,812.39,49620
No,Yes,1809.92,6980
No,No,0,30360
No,Yes,1328.18,24680
No,Yes,1464.93,26710
No,No,1200.56,39710
No,No,989.68,27850
No,No,870.73,35530
No,Yes,1200.84,19840
No,Yes,1428.83,23200
No,No,0,33950
No,Yes,359.45,21780
No,No,265.68,40860
No,No,1027.77,44400
No,No,729.04,35040
No,No,1042.80,25860
No,No,230.23,37870
No,No,367.46,30610
No,Yes,737.70,20860
No,No,18.26,30340
No,No,1257.76,30830
No,No,455.52,40900
No,No,56.96,35450
No,Yes,723.93,12210
No,No,612.38,41370
No,Yes,1220.17,15300
No,No,1222.34,32360
No,No,1165.49,47680
Yes,No,1642.81,46850
No,No,944.17,56080
No,No,749.60,41420
No,No,370.37,31230
Yes,No,1991.64,42130
No,No,773.91,44560
No,Yes,817.24,20480
No,No,1060.71,50260
Yes,No,1550.44,56270
No,Yes,454.46,15090
No,Yes,1256.23,17780
No,No,1484.39,36730
No,Yes,1050.47,12660
No,No,986.40,45430
No,No,717.34,44260
No,No,692.14,47030
Yes,No,1328.89,34710
No,No,673.46,32930
No,No,218.63,48990
No,No,1218.16,43950
No,Yes,13.51,19320
No,Yes,531.47,21720
No,No,165.53,33430
No,Yes,1351.84,25890
No,No,107.28,54140
No,No,947.19,35600
No,Yes,434.56,14810
No,No,1020.06,37450
No,No,662.30,31590
No,Yes,754.42,20760
No,No,289.48,44410
No,No,198.03,36270
No,Yes,516.06,16610
No,No,697.56,41750
No,Yes,502.32,16940
No,Yes,1459.68,15570
No,No,716.99,34410
No,Yes,1037.97,18320
No,No,673.01,29730
No,No,371.92,41090
No,No,89.13,55600
No,No,1273.28,40890
No,No,600.72,18680
No,No,905.03,40710
No,No,1061.44,54430
No,No,1672.63,46330
No,Yes,883.70,19750
No,No,373.78,53930
No,No,1287.79,52380
No,No,1229.74,48730
No,Yes,510.61,22450
No,No,775.63,27200
No,No,1152.98,50200
No,Yes,1303.66,7980
No,No,1675.27,28240
No,No,398.27,30000
No,Yes,739.90,25020
No,No,226.41,32010
No,No,1217.32,25170
No,No,639.82,29900
No,Yes,883.16,12710
No,No,2.28,38180
No,No,419.63,55960
No,Yes,1544.14,11100
No,No,1101.01,32150
Yes,No,1700.59,30480
No,No,311.82,48300
No,No,442.83,55070
No,No,728.81,17900
No,No,278.87,37180
No,No,758.70,36620
No,No,620.33,22800
No,Yes,1890.16,18400
No,No,0,28950
No,Yes,1329.19,23180
No,No,1075.86,44120
No,No,618.52,54950
No,No,1111.08,27460
No,No,864.03,45880
No,No,895.22,48510
No,Yes,954.03,21900
No,No,947.63,46810
No,No,267.30,23110
No,Yes,1366.80,23910
No,No,624.73,38320
No,No,13.67,25220
No,No,785.86,44770
No,Yes,1353.09,18930
No,No,480.32,25550
No,No,0,29500
No,Yes,1221.97,17910
No,Yes,1184.93,25100
No,Yes,478.57,27510
No,No,221.69,34780
No,No,578.38,41050
No,Yes,1361.45,19570
No,Yes,977.84,19730
No,No,1184.42,36880
Yes,Yes,1118.70,21840
Yes,No,1119.09,37220
No,No,776.34,31320
No,No,1322.29,51790
No,No,878.02,27430
No,No,1268.37,16920
No,No,0,32610
No,No,0,37260
No,Yes,366.78,25830
No,No,747.56,39890
No,No,1787.28,37490
No,Yes,1929.44,14990
No,No,987.14,27960
No,Yes,856.35,20750
No,No,1101.14,18150
No,No,704.18,31510
No,No,555.62,40830
No,No,1073.49,44760
No,No,1126.22,32840
No,Yes,649.77,15700
No,No,977.65,43740
No,No,1049.88,42630
No,Yes,1383.56,15760
No,Yes,1095.46,14060
No,No,1089.37,30220
No,No,605.22,21790
No,No,1033.88,49260
No,No,1604.72,38180
No,No,826.32,24670
No,Yes,1176.14,16670
No,Yes,1275.02,19930
No,Yes,1290.28,23530
No,No,1133.47,51410
No,No,837.41,37400
No,Yes,379.08,18280
No,Yes,1134.16,12450
No,No,0,39120
No,No,1491.17,59390
No,Yes,1695.35,9580
No,No,705.57,54580
No,No,239.19,33740
No,Yes,1183.71,12420
No,No,898.76,38260
No,Yes,1524.29,11710
No,No,777.02,35110
No,No,1394.79,26070
No,Yes,0,20470
No,No,62.57,47940
Yes,No,1981.45,28120
No,No,514.05,50050
No,No,722.78,53710
No,No,152.86,33710
No,No,293.18,35390
No,No,0,38610
No,Yes,645.36,17870
No,Yes,1515.15,26040
No,Yes,767.43,18840
No,Yes,491.87,21710
No,No,0,41380
No,No,0,34580
No,No,509.15,40130
No,Yes,965.58,16440
No,Yes,1868.54,20480
No,No,403.49,41800
No,No,593.14,37670
No,No,0,44540
No,No,742.29,39360
No,Yes,1110.10,13010
No,No,771.55,49440
No,No,624.33,42490
No,Yes,499.95,22880
No,No,1088.63,60650
No,No,1556.49,49660
No,Yes,797.08,23550
No,No,415.99,38210
No,Yes,538.23,26830
No,Yes,1181.93,21080
No,Yes,836.02,9270
No,No,104.44,46920
No,No,564.20,53190
No,Yes,804.53,25090
No,No,1028.95,21210
No,No,748.74,8980
No,No,66.63,28730
No,No,452.80,48030
No,Yes,798.46,27720
No,Yes,1941.90,23460
No,No,1446.10,22990
No,No,761.06,61580
No,No,1350.17,43140
No,No,380.95,36940
No,Yes,1602.84,15900
No,No,147.61,37580
No,No,0,36280
No,Yes,733.07,18810
No,Yes,1082.74,26090
No,No,779.65,40800
No,No,994.15,65250
No,No,769.18,50070
No,Yes,684.09,4980
No,No,442.56,27890
Yes,No,1717.07,38400
No,No,0,36300
No,No,1092.34,44710
No,No,497.33,35140
No,Yes,1149.68,16900
Yes,No,1465.21,58690
No,No,565.31,41780
No,Yes,922.13,12220
No,Yes,175.59,11510
No,No,1024.94,49670
No,No,596.88,54090
No,No,750.41,53080
No,Yes,790.87,14180
No,No,112.32,42380
No,Yes,738.39,16090
No,No,1157.85,54410
No,No,1213.24,45140
No,No,1339.62,41650
No,No,588.31,56520
No,No,721.80,56370
No,No,680.82,43840
No,Yes,815.40,12070
No,No,1042.50,37170
No,Yes,663.24,20450
No,Yes,1478.61,18020
No,No,337.75,33650
No,Yes,1273.55,23120
No,No,114.17,49560
No,No,0,52290
No,Yes,1516.31,26370
No,Yes,898.11,24160
No,No,790.59,48210
No,No,0,29070
No,No,1273.24,49130
No,No,1279.20,36060
No,Yes,732.71,14560
Yes,No,1763.57,46220
No,Yes,1280.41,16310
No,No,1529.93,36910
No,Yes,345.46,18250
No,No,197.98,33720
Yes,Yes,1770.96,15970
No,Yes,639.37,17030
No,No,238.81,23520
No,No,390.55,45330
No,Yes,830.17,19470
No,Yes,1378.87,21610
No,No,242.40,37360
No,No,1236.54,36210
No,No,1063.77,34910
No,No,126.92,33810
No,No,758.46,38010
No,No,908.93,68750
No,No,558.51,46290
No,No,1819.24,36960
No,Yes,1110.68,19320
No,No,723.24,43450
No,No,972.03,18510
No,No,696.01,40740
No,Yes,1178.24,29360
No,Yes,329.55,19370
No,Yes,792.52,14540
No,No,1246.03,33690
No,No,591.76,41670
No,No,244.08,24850
No,No,1038.54,49940
No,No,679.07,49480
No,No,1061.41,40580
No,Yes,1268.24,11910
No,Yes,955.53,14730
No,No,1115.82,27880
No,Yes,601.16,22020
No,No,1097.60,52280
No,No,1042.78,45980
No,Yes,1321.44,8620
No,No,1052.39,37630
No,No,687.95,27600
No,Yes,566.46,24820
No,No,769.41,35070
No,No,955.13,26370
No,No,643.40,28660
No,No,0,42740
No,No,437.63,45380
No,No,1278.86,34670
No,No,1639.39,30620
No,No,891.64,36470
No,Yes,316.45,18810
No,No,622.92,48870
No,No,107.27,42280
No,Yes,990.54,12390
No,No,0,45650
No,No,0,33110
No,No,591.21,35280
No,Yes,928.06,21120
No,No,304.59,40780
No,No,235.93,31330
No,Yes,1108.05,10850
No,No,687.30,24560
No,No,60.18,39860
No,No,0,34640
No,No,272.89,58730
Yes,No,1531.71,43930
No,No,949.60,47700
No,No,561.91,35080
No,No,468.13,25230
No,Yes,993.10,12210
No,No,0,31310
No,Yes,759.47,12710
No,No,1340.78,36440
No,Yes,1521.46,15210
No,No,133.74,30450
Yes,No,780.17,51650
No,No,839.91,22880
No,No,913.50,36670
No,No,924.88,35710
No,No,1197.83,54650
No,No,49.20,30450
No,No,970.71,48380
No,No,783.05,54080
No,Yes,465.06,20370
No,No,0,39330
No,Yes,732.26,21980
No,No,576.09,37670
No,Yes,588.99,16300
No,No,863.14,43770
No,No,857.57,49670
No,No,361.50,33670
No,No,891.15,36020
No,No,918.12,44730
No,No,1335.02,21150
No,No,421.40,39870
No,Yes,743.63,18880
No,No,773.74,41870
No,No,731.39,45250
No,No,964.18,36330
No,Yes,350.01,17650
No,No,1206.66,37120
No,No,1051.94,52880
No,No,454.76,45570
No,No,932.66,42750
No,No,535.74,36250
No,No,241.80,41180
No,No,1026.50,42040
No,Yes,187.67,18270
No,No,197.53,58640
No,No,585.70,43280
No,Yes,1947.02,12140
No,No,829.54,39710
No,No,196.93,35480
No,No,591.86,31430
No,No,0,39740
No,Yes,1008.29,11930
No,Yes,1052.22,17410
No,No,331.68,49750
No,No,913.10,29410
No,Yes,561.39,21740
No,No,246.95,47690
No,No,578.97,46300
No,No,557.80,62350
No,Yes,788.25,10410
No,No,1060.80,39170
No,Yes,1247.90,19810
No,No,1184.36,34250
No,No,1024.57,33070
No,No,1080.29,43360
No,No,540.27,26260
No,No,1448.83,33830
No,Yes,561.19,27420
No,No,1191.48,30040
No,No,565.13,38200
No,No,482.98,35840
No,No,950.35,37480
No,Yes,350.70,21230
Yes,Yes,1551.02,19020
No,No,981.59,37740
No,No,1442.12,10920
No,No,1060.33,56600
No,No,1154.89,61790
No,Yes,544.13,20050
No,No,1137.17,27580
No,No,414.08,47810
No,Yes,436.00,17500
No,No,987.81,25800
No,No,679.39,46600
No,No,1377.77,51630
No,No,856.81,32430
No,No,1036.67,44920
No,No,0,46820
No,No,961.47,51930
No,No,275.98,35620
No,No,426.69,30760
No,No,290.25,46210
No,No,934.96,42320
No,Yes,668.99,26340
No,Yes,2004.72,27130
No,No,1312.86,29930
No,Yes,662.27,15090
No,No,524.63,36120
No,Yes,1212.58,21050
No,No,961.31,30290
Yes,Yes,1504.29,13960
No,Yes,613.65,25040
No,Yes,1233.34,13400
No,No,1221.38,36960
No,No,1217.05,46250
No,No,628.75,43200
No,Yes,819.09,15950
No,Yes,843.49,12710
No,No,1173.55,29140
No,Yes,1195.59,13320
No,No,1202.88,12280
No,No,24.87,29310
No,No,853.24,29480
No,No,398.77,40220
No,Yes,1521.17,18140
No,Yes,1160.22,15940
No,No,985.61,49940
No,No,583.82,38210
No,Yes,638.69,18140
No,No,384.99,25380
No,No,1050.76,31550
Yes,Yes,1871.93,18070
No,No,793.76,35150
No,Yes,591.66,21790
No,No,419.47,24000
No,Yes,514.28,18180
No,No,1027.89,21550
No,Yes,1029.68,15970
No,Yes,953.62,18360
No,Yes,1463.33,11570
No,No,1172.45,34690
No,Yes,548.27,12040
No,No,1752.88,48250
No,Yes,555.92,23900
No,Yes,1560.93,13620
No,Yes,839.88,16880
No,Yes,1112.81,13630
No,No,1309.25,43270
No,No,940.59,41560
No,No,1019.24,41190
No,No,433.66,32900
No,No,1015.11,42050
No,No,75.17,52760
No,No,1050.31,39580
No,No,48.91,35150
No,No,1721.64,48230
No,No,1607.35,48700
No,No,1180.44,43910
No,No,609.87,40870
No,Yes,1054.20,19440
No,Yes,793.82,19070
No,No,879.67,30020
No,No,1237.64,29150
No,Yes,1412.76,18230
No,Yes,1174.71,13020
No,No,363.34,44320
No,No,919.48,44920
No,Yes,1195.05,21640
No,Yes,794.13,15720
No,No,10.18,33770
No,No,0,31080
No,Yes,498.50,16960
No,Yes,1227.16,18450
Yes,No,1902.61,53390
No,Yes,1059.20,11740
No,Yes,450.30,21170
No,No,418.53,55000
No,No,1070.48,32930
No,No,1306.77,56640
No,Yes,1315.33,8430
No,No,74.53,19140
No,No,66.15,38920
No,No,56.42,54210
No,No,1056.59,25120
No,No,259.23,51350
No,Yes,1143.69,23500
No,Yes,0,15680
No,No,877.79,30230
No,No,919.07,45310
No,No,94.93,27210
No,No,333.37,29410
No,No,197.91,30970
No,No,624.91,41040
No,No,138.25,54400
No,No,787.55,46180
No,No,1030.92,36270
No,No,1049.74,30150
No,No,0,35730
No,Yes,1130.05,18460
No,No,795.54,51300
No,Yes,1503.59,18710
No,No,436.13,46070
No,No,800.70,36310
Yes,Yes,1881.04,16580
No,Yes,1445.45,18630
No,No,1166.10,23990
No,No,163.74,38970
No,No,0,46350
No,No,1322.05,47810
No,No,1283.52,61520
No,No,1000.89,43050
No,No,249.86,47600
No,No,500.22,38990
No,No,568.09,36370
No,Yes,1047.08,13710
No,Yes,186.66,15970
No,No,782.77,39220
No,No,388.54,18000
No,Yes,842.57,17270
No,No,556.11,44190
No,No,1234.57,48110
No,No,412.89,42120
No,No,683.35,29260
No,No,872.22,48100
No,No,415.76,24740
No,Yes,1518.01,16740
No,No,254.39,44610
No,No,1507.24,24050
No,No,900.56,40840
No,No,595.14,46010
No,Yes,163.93,21080
No,No,389.61,43470
No,Yes,1334.97,14830
No,Yes,1961.72,17860
No,No,1173.16,36430
No,No,1102.41,23210
No,No,1228.90,46410
Yes,No,1505.83,29520
No,Yes,1217.62,21160
No,Yes,843.15,12040
No,No,1004.53,59400
No,No,294.06,57500
No,No,484.72,24560
No,No,775.55,34580
No,Yes,1339.31,21030
No,No,801.85,39150
No,No,551.88,37570
No,Yes,522.38,23440
No,Yes,1237.45,20660
No,No,320.00,57560
No,No,960.67,30090
No,No,272.01,29770
No,No,927.16,33780
No,No,75.79,55180
No,No,1285.85,37630
No,No,1471.77,32470
No,Yes,808.01,14480
No,No,747.35,42900
No,No,327.79,23860
No,Yes,851.34,18780
No,No,110.85,27370
No,No,541.75,57320
No,No,0,36260
No,No,1201.36,51740
No,No,57.21,18980
No,Yes,785.09,32940
No,Yes,383.63,17440
No,No,1107.30,52760
No,No,396.98,55450
No,No,0,44800
No,No,924.24,45200
No,No,602.49,33200
No,Yes,828.73,17960
No,Yes,1.61,20830
No,Yes,894.00,18000
No,No,1234.47,31310
No,No,406.01,42640
No,Yes,1051.99,12370
No,Yes,1085.83,18890
No,No,1656.17,41130
No,Yes,242.65,20420
No,Yes,602.30,12920
No,No,187.59,59660
No,No,331.29,34490
No,No,911.38,57130
No,No,391.40,39760
No,No,1450.34,33950
No,No,819.91,28960
No,Yes,1590.17,18660
No,Yes,1256.61,22490
Yes,Yes,1889.33,22650
No,No,743.68,10770
No,No,343.19,29550
No,No,534.97,44070
No,No,1207.69,34850
No,No,564.81,39820
No,Yes,495.36,22930
No,No,902.51,38640
No,Yes,1741.27,18540
No,No,1166.64,52700
No,Yes,631.15,23240
No,Yes,1076.97,14660
Yes,No,1243.55,37630
No,No,2113.01,34740
No,No,1296.06,43310
No,No,1088.67,47140
No,No,824.73,42310
No,No,684.29,37010
No,No,37.36,26220
No,Yes,878.14,18410
No,No,904.24,40680
No,Yes,942.04,22180
No,Yes,957.49,16320
No,No,285.29,17600
No,Yes,1468.38,19840
No,No,322.71,27660
No,No,414.13,40870
No,No,1105.00,36810
No,No,0.44,31930
No,No,619.70,13900
No,No,293.86,56670
No,Yes,637.38,19700
No,No,1109.52,69320
No,No,1223.11,52900
No,Yes,1183.69,13080
No,No,569.79,54330
No,No,625.53,46020
No,No,833.65,16900
No,No,866.04,44820
No,Yes,945.47,17270
No,No,1554.84,43900
No,No,575.76,51920
No,No,1141.60,38720
No,No,1146.64,45370
No,No,0,34300
No,No,434.71,35450
No,No,1026.13,39130
No,Yes,1302.79,29250
No,No,690.70,59560
No,No,574.45,40720
No,No,0,43340
No,Yes,251.30,13050
No,Yes,1252.11,16490
No,No,207.89,52240
Yes,No,1753.08,48960
No,Yes,1279.93,21100
No,No,862.87,36460
No,No,1143.54,33390
No,No,1253.18,71230
No,No,624.08,25550
No,Yes,1027.86,14320
Yes,No,1964.01,50550
No,No,752.42,32530
No,No,953.92,32640
No,No,773.20,66740
No,No,432.79,52230
No,No,797.73,31610
No,No,240.84,56080
No,No,662.31,31810
No,Yes,1056.36,15430
No,No,741.08,43010
No,No,0,42280
No,No,981.95,41120
No,No,1569.83,42780
No,No,136.50,45590
No,Yes,731.95,18110
No,No,717.81,32040
No,Yes,1005.17,18260
No,No,561.92,31190
Yes,No,2033.19,44990
No,No,638.81,46700
No,Yes,1104.94,11520
No,No,0,29510
No,No,633.76,34290
No,Yes,1526.02,20890
No,No,522.76,43020
No,No,853.10,47380
No,No,1225.22,39330
No,Yes,1559.62,22040
No,No,260.33,34930
No,No,1320.94,50500
No,No,1443.64,45080
No,No,791.63,30300
No,No,922.66,33440
No,No,80.75,35880
No,No,193.35,34720
No,No,939.09,45510
No,No,1336.80,30780
Yes,No,1488.77,49800
No,Yes,375.19,13700
No,Yes,773.38,18970
No,No,581.42,44600
No,No,461.05,43140
Yes,Yes,1424.55,25390
No,Yes,1139.39,17130
No,No,1032.20,41670
No,No,96.64,44550
No,No,338.77,42670
No,Yes,1331.42,13790
No,No,0,34470
No,No,616.25,42430
No,No,599.80,30140
No,Yes,1466.56,20900
No,No,593.30,49920
No,No,786.98,49430
No,No,926.98,48750
No,No,1175.42,37460
No,Yes,1697.74,23290
No,No,575.51,54200
No,No,1386.30,54400
No,Yes,1222.24,23150
No,No,1556.19,26900
No,No,1103.92,52820
Yes,No,1496.07,40210
No,Yes,975.64,25920
No,Yes,781.17,23400
No,Yes,940.43,18930
No,No,375.32,32530
No,No,627.87,51770
No,No,1304.38,49370
No,No,1496.23,37530
No,Yes,1005.59,15850
No,No,828.85,46060
No,Yes,1144.35,18900
No,No,1386.19,42530
No,Yes,1321.80,11450
No,No,1121.15,35760
No,No,547.86,45960
No,No,813.99,42460
No,No,75.18,52160
No,No,598.21,28620
No,Yes,63.03,12300
No,No,0,48640
No,No,1553.70,35920
No,No,813.71,46410
No,No,1386.17,42870
No,No,933.76,43690
No,Yes,1240.09,20130
No,No,0,33780
No,No,613.58,30830
No,No,253.51,53120
No,Yes,947.88,17090
No,Yes,112.81,16100
No,Yes,827.04,18890
No,No,484.67,43900
No,Yes,271.24,25150
No,No,1018.24,52500
No,No,0,43730
No,Yes,0,16420
No,No,1101.80,36550
No,Yes,1471.89,18910
No,No,1057.71,40700
No,No,352.55,17620
No,No,1029.81,50630
No,No,1308.66,35960
No,Yes,1581.79,10530
No,No,918.11,53710
No,No,637.80,40320
No,No,369.04,38460
No,Yes,985.09,18490
No,No,306.95,32420
No,No,1205.91,43710
No,No,1079.50,40500
No,No,555.28,40040
No,No,905.01,39290
No,Yes,1348.95,20870
No,Yes,1461.83,19250
No,No,443.44,29810
Yes,No,2024.10,51500
No,No,1516.55,39360
No,Yes,520.55,18250
No,No,850.54,44500
No,No,926.48,49910
No,Yes,1275.82,9610
No,No,249.59,20680
No,Yes,1564.47,19370
No,No,443.17,37630
No,No,323.54,33990
No,Yes,512.32,24940
No,Yes,524.76,14150
No,No,741.42,38660
No,Yes,1994.04,14300
No,No,1175.71,24000
No,No,284.04,41240
No,No,565.50,39100
No,No,47.74,31150
No,No,776.95,45080
No,No,353.73,65520
No,No,76.13,53590
No,No,839.60,45990
No,Yes,754.48,22420
No,Yes,833.12,23630
No,No,277.29,27540
No,No,1594.69,37090
No,No,0,40390
No,Yes,1281.61,14230
No,No,1469.70,40170
No,No,0,38160
No,No,891.40,46610
No,No,493.76,51510
No,Yes,884.61,24300
No,No,0,32580
No,No,1028.52,47940
No,Yes,425.83,13270
No,No,1132.35,52480
No,No,965.27,46210
Yes,No,2499.01,51500
No,Yes,1435.18,11340
No,Yes,1391.19,8630
No,Yes,1804.41,17660
No,Yes,321.79,19220
No,No,1506.66,41930
Yes,Yes,1402.26,12100
Yes,No,1379.43,38880
No,No,1232.97,57180
No,No,134.85,35750
No,Yes,422.91,18780
No,No,1373.56,21780
No,No,661.42,55590
No,No,1427.71,27420
No,No,938.63,39450
No,No,608.42,56480
No,No,1477.53,46960
No,Yes,1470.58,17870
No,Yes,1488.59,20730
No,No,0,49600
No,Yes,328.03,19560
No,Yes,1333.80,21080
No,No,764.53,40590
No,No,110.32,52100
Yes,Yes,2502.68,14940
No,No,604.31,36590
No,Yes,1595.28,22640
No,No,0,50070
No,No,440.63,50900
No,Yes,876.91,13370
No,No,1366.89,35560
No,No,1129.97,32790
No,No,1077.02,56860
No,No,1411.07,26040
No,No,0,45780
