Variable,Description
Country,Country 
Continent,Continent
RegionUN,UN Regional Classification
SubregionUN,UN Subregional Classification
TotalPop2012,Total population (thousands)
under5pop2012,Total under-5 population (thousands)
urbanpop_percent2010,Population urban (%)
over65pop_percent2012,Population >65 years (%)
year_EBFtrend2,Year, trends in Exclusive breastfeeding <6 months (%), 2nd of 3 most recent surveys
EBF_rate2,Trends in Exclusive breastfeeding <6 months (%), 2nd of 3 most recent surveys
year_EBFtrend3,Year, trends in Exclusive breastfeeding <6 months (%), 3rd of 3 most recent surveys
EBF_rate3,Trends in Exclusive breastfeeding <6 months (%), 3rd of 3 most recent surveys
year_SAM,Year, Severe Acute Malnutrition Geographical Coverage (%)
SAMcoverage_rate,Severe Acute Malnutrition Geographical Coverage (%)
year_VitAsupp,Year, Vitamin A supplementation, full coverage (%)
vitAcoverage_rate,Vitamin A supplementation, full coverage (%)
year_ORS,Year, Under-5 with diarrhea receiving oral rehydration salts (ORS) (%)
ORS_rate,Under-5 with diarrhea receiving oral rehydration salts (ORS) (%)
year_DPT3,Year, Immunization coverage DTP3 (%)
DPT3_rate,Immunization coverage DTP3 (%)
year_HHiodizedsalt,Year, Iodized salt consumption (%)
HHiodizedsalt_rate,Iodized salt consumption (%)
percent_undernourishment1991,Undernourishment (%), 1991
percent_undernourishment2000,Undernourishment (%), 2000
percent_undernourishment2010,Undernourishment (%), 2010
percent_undernourishment2014,Undernourishment (%), 2014
fruitandveg_gram1990,Availability of fruit and vegetables (grams), 1990
fruitandveg_gram2000,Availability of fruit and vegetables (grams), 2000
fruitandveg_gram2010,Availability of fruit and vegetables (grams), 2010
fruitandveg_gram2011,Availability of fruit and vegetables (grams), 2011
percent_nonstaples1991,Available kcal from nonstaples (%), 1991
percent_nonstaples2000,Available kcal from nonstaples (%), 2000
percent_nonstaples2009,Available kcal from nonstaples (%), 2009
gender_inequality_index,Gender Inequality Index (score), 2013
gender_inequality_rank,Gender Inequality Index (country rank), 2013
Year_PhysicianDensity,Year, Population density of health workers (per 1,000 population) density of physicians
Ratio_Physician,Population density of health workers (per 1,000 population) density of physicians
Year_CHWdensity,Year, Population density of health workers (per 1,000 population) density of community health workers
Ratio_CHWdensity,Population density of health workers (per 1,000 population) density of community health workers
Year_NursesMidwivesDensity,Year, Population density of health workers (per 1,000 population) density of nurses and midwives
Ratio_NursesMidwivesDensity,Population density of health workers (per 1,000 population) density of nurses and midwives
year_earlychildbearing,Year, Early childbearing—births by age 18 (%)
percent_earlychildbearing,Early childbearing—births by age 18 (%)
A1990_femaleED,Female secondary enrollment rates (gross) (%), 1990 
A2000_femaleED,Female secondary enrollment rates (gross) (%), 2000 
A2010_femaleED,Female secondary enrollment rates (gross) (%), 2000 
A2011_13_femaleED,Female secondary enrollment rates (gross) (%), most recent survey between 2011 and 2013 
waterpiped1990,Water coverage, piped on premises (%), 1990
waterOtherIm1990,Water coverage, other improved (%), 1990
waterotherUnIm1990,Water coverage, other unimproved (%), 1990
watersurface1990,Water coverage, surface water (%), 1990
waterpiped2000,Water coverage, piped on premises (%), 2000
waterOtherIm2000,Water coverage, other improved (%), 2000
waterotherUnIm2000,Water coverage, other unimproved (%), 2000
watersurface2000,Water coverage, surface water (%), 2000
waterpiped2012,Water coverage, piped on premises (%), 2012
waterOtherIm2012,Water coverage, other improved (%), 2012
waterotherUnIm2012,Water coverage, other unimproved (%), 2012
watersurface2012,Water coverage, surface water (%), 2012
SantotalIm1990,Sanitation coverage, total improved (%), 1990
Sanshared1990,Sanitation coverage, shared (%), 1990
SanOtherUnIm1990,Sanitation coverage, other unimproved (%), 1990
SanDefecation1990,Sanitation coverage, open defecation (%), 1990
SantotalIm2000,Sanitation coverage, total improved (%), 2000
Sanshared2000,Sanitation coverage, shared (%), 2000
SanOtherUnIm2000,Sanitation coverage, other unimproved (%), 2000
SanDefecation2000,Sanitation coverage, open defecation (%), 2000
SantotalIm2012,Sanitation coverage, total improved (%), 2012
Sanshared2012,Sanitation coverage, shared (%), 2012
SanOtherUnIm2012,Sanitation coverage, other unimproved (%), 2012
SanDefecation2012,Sanitation coverage, open defecation (%), 2012
agriculture1990_govspend,Government expenditure on agriculture (%),  1990
education1990_govspend,Government expenditure on education (%), 1990
health1990_govspend,Government expenditure on health (%), 1990
socialprotection1990_govspend,Government expenditure on social protection (%), 1990
agriculture2000_govspend,Government expenditure on agriculture (%), 2000
education2000_govspend,Government expenditure on education (%), 2000
health2000_govspend,Government expenditure on health (%), 2000
socialprotection2000_govspend,Government expenditure on social protection (%), 2000
agriculture2010_govspend,Government expenditure on agriculture (%), 2010
education2010_govspend,Government expenditure on education (%), 2010
health2010_govspend,Government expenditure on health (%), 2010
socialprotection2010_govspend,Government expenditure on social protection (%), 2010
agriculture2012_govspend,Government expenditure on agriculture (%), 2012
education2012_govspend,Government expenditure on education (%), 2012
health2012_govspend,Government expenditure on health (%), 2012
socialprotection2012_govspend,Government expenditure on social protection (%), 2012
year_BFcode,Year, National Implementation of the International Code of Marketing of Breast Milk Substitutes
BFcode_status1,National Implementation of the International Code of Marketing of Breast Milk Substitutes
year_RTF,Year, Extent of Constitutional Right to Food
RTF_level1,Extent of Constitutional Right to Food
year_maternityprotection,Year, Maternity protection (Convention 183)
cat_maternityprotection,Maternity protection (Convention 183)
year_wheatfortification,Year,Wheat fortification legislation 
status_wheatfortification,Wheat fortification legislation 
year_policyrank,Year of policy documents, undernutrition in national development plans and economic growth strategies (country rank)
policyrank_1to83,Undernutrition in national development plans and economic growth strategies (country rank)
year_NCDpolicy,Year, policy for Noncommunicable diseases (NCDs) - hypertension and diabetes
hypertension_policy,Availability and stage of implementation of guidelines, protocols, and standards for the management of hypertension
diabetes_policy,Availability and stage of implementation of guidelines, protocols, and standards for the management of diabetes
year_SUN,Year, Scaling up Nutrition (SUN) countries’ Institutional Transformations
SUN_Process1,Bringing people into a shared space for action (%)
SUN_Process2,Ensuring a coherent policy and legal framework (%)
SUN_Process3,Aligning actions around a common results framework (%)
SUN_Process4,Financial tracking and resource mobilization (%)
SUN_TotalAccomplished,Total weighed score (%)
