Country,Continent,RegionUN,SubregionUN,year_BFcode,BFcode_status1,year_RTF,RTF_level1,year_maternityprotection,cat_maternityprotection,year_wheatfortification,status_wheatfortification,year_policyrank,policyrank_1to83,year_NCDpolicy,hypertension_policy,diabetes_policy,year_SUN,SUN_Process1,SUN_Process2,SUN_Process3,SUN_Process4,SUN_TotalAccomplished
Burundi,Africa,Africa,Eastern Africa,2014,Measure drafted awaiting final approval,2003,Medium,2011,Partial,,No fortification,2025,22,2010,Not available,"Available, not implemented",2014,35,28,34,5,26
Cambodia,Asia,Asia,South-Eastern Asia,2014,Many provisions law,2003,Medium,2011,Partial,,No fortification,2006Ð2010,10,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Cameroon,Africa,Africa,Middle Africa,2014,Law,2003,,2011,Yes,2011,Mandatory,2010Ð2020,51,2010,"Available, partially implemented","Available, partially implemented",2014,23,36,0,4,16
Canada,Americas,Northern America,Northern America,2014,Few provisions law,2003,Low,2011,Yes,,Mandatory,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Cape Verde,Africa,Africa,Western Africa,2014,Law,2003,Medium,2011,No,,Voluntary,2008-2011,80,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Central African Republic,Africa,Africa,Middle Africa,2014,No action,2003,Medium,2011,Yes,,No fortification,,,2010,Not available,Not available,2014,,,,,
Chad,Africa,Africa,Middle Africa,2014,Measure drafted awaiting final approval,2003,Medium,2011,Yes,,No fortification,,,2010,"Available, partially implemented","Available, partially implemented",2014,85,72,42,39,60
Chile,Americas,Latin America and the Caribbean,South America,2014,Few provisions law,2003,Medium low,2011,Yes,1996,Mandatory,2014-2018,83,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
China,Asia,Asia,Eastern Asia,2014,Few provisions law,2003,Medium low,2011,Partial,2008,No fortification,2011Ð2015,83,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Colombia,Americas,Latin America and the Caribbean,South America,2014,Many provisions law,2003,Medium high,2011,Yes,1996,Mandatory,2010-2014,50,2010,,,2014,,,,,
Comoros,Africa,Africa,Eastern Africa,2014,Measure drafted awaiting final approval,2003,Low,2011,Yes,,No fortification,,,2010,Not available,Not available,2014,21,28,23,19,23
Congo (Republic of the),Africa,Africa,Middle Africa,2014,Measure drafted awaiting final approval,2003,Medium,2011,Yes,,Planning,2009-2016,83,2010,Not available,Not available,2014,17,24,27,23,23
Costa Rica,Americas,Latin America and the Caribbean,Central America,2014,Law,2003,Medium,2011,Yes,,Mandatory,2013-2030,83,2010,"Available, fully implemented","Available, fully implemented",2014,17,20,28,19,21
Cote d'Ivoire,Africa,Africa,Western Africa,2014,Many provisions law,2003,Medium,2011,Yes,2007,Mandatory,2009Ð2015,13,2010,Not available,Not available,2014,70,62,43,51,57
Croatia,Europe,Europe,Southern Europe,2014,Being studied,2003,Medium,2011,Yes,,No fortification,2006-2013,83,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Cuba,Americas,Latin America and the Caribbean,Caribbean,2014,Few provisions law,2003,Medium,2011,Yes,,Mandatory,1992-2000,36,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Cyprus,Asia,Asia,Western Asia,2014,,2003,Medium high,2011,Yes,,No fortification,,,2010,Not available,Not available,2014,,,,,
Czech Republic,Europe,Europe,Eastern Europe,2014,Many provisions law,2003,Medium,2011,Yes,,No fortification,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Democratic People's Republic of Korea,Asia,Asia,Eastern Asia,2014,No information,2003,High,2011,,,No fortification,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Democratic Republic of the Congo,Africa,Africa,Middle Africa,2014,Many provisions law,2003,Medium high,2011,Yes,,Voluntary,2006Ð2008,30,2010,"Available, partially implemented","Available, partially implemented",2014,47,46,37,25,39
Denmark,Europe,Europe,Northern Europe,2014,Many provisions law,2003,,2011,Yes,,No fortification,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Djibouti,Africa,Africa,Eastern Africa,2014,Many provisions law,2003,Medium,2011,Yes,2013,Planning,,,2010,Not available,Not available,2014,,,,,
Dominica,Americas,Latin America and the Caribbean,Caribbean,2014,,2003,,2011,Partial,1992,Mandatory,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Dominican Republic,Americas,Latin America and the Caribbean,Caribbean,2014,Law,2003,Medium high,2011,Partial,,Mandatory,2010-2030,79,2010,Not available,Not available,2014,,,,,
Ecuador,Americas,Latin America and the Caribbean,South America,2014,Voluntary,2003,High,2011,Partial,1996,Mandatory,2013-2017,25,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Egypt,Africa,Africa,Northern Africa,2014,Many provisions law,2003,Medium,2011,Partial,2008,Mandatory,2007-2012,83,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
El Salvador,Americas,Latin America and the Caribbean,Central America,2014,Many provisions law,2003,Medium high,2011,Partial,2002,Mandatory,2010-2014,38,2010,Not available,"Available, partially implemented",2014,38,44,50,54,47
Equatorial Guinea,Africa,Africa,Middle Africa,2014,No information,2003,,2011,Partial,,No fortification,,,2010,Not available,Not available,2014,,,,,
Eritrea,Africa,Africa,Eastern Africa,2014,Being studied,2003,Medium high,2011,No,,No fortification,,,2010,Not available,Not available,2014,,,,,
Estonia,Europe,Europe,Northern Europe,2014,Few provisions law,2003,Medium,2011,Yes,,No fortification,2014-2018,83,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Ethiopia,Africa,Africa,Eastern Africa,2014,Few provisions law,2003,High,2011,Partial,,Planning,2011-2015,68,2010,Not available,Not available,2014,65,64,65,67,65
Fiji,Oceania,Oceania,Melanesia,2014,Law,2003,,2011,Partial,1993,Mandatory,2007-2011,55,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Finland,Europe,Europe,Northern Europe,2014,Many provisions law,2003,Medium high,2011,Yes,,No fortification,,,2010,"Available, partially implemented","Available, fully implemented",2014,,,,,
France,Europe,Europe,Western Europe,2014,Many provisions law,2003,Medium,2011,Yes,,No fortification,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Gabon,Africa,Africa,Middle Africa,2014,Law,2003,Medium,2011,Yes,,No fortification,2011-2016. Includes Vision 2025,83,2010,Not available,Not available,2014,,,,,
Gambia,Africa,Africa,Western Africa,2014,Law,2003,,2011,Partial,,Voluntary,2007-2011,9,2010,"Available, fully implemented","Available, fully implemented",2014,80,54,29,43,52
Georgia,Asia,Asia,Western Asia,2014,Law,2003,Medium,2011,,,Planning,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Germany,Europe,Europe,Western Europe,2014,Many provisions law,2003,Medium high,2011,Yes,,No fortification,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Ghana,Africa,Africa,Western Africa,2014,Law,2003,Medium high,2011,Partial,2010,Mandatory,2010-2013,33,2010,"Available, fully implemented","Available, partially implemented",2014,42,36,12,0,23
Greece,Europe,Europe,Southern Europe,2014,Many provisions law,2003,Medium,2011,Yes,,No fortification,,,2010,,,2014,,,,,
Grenada,Americas,Latin America and the Caribbean,Caribbean,2014,,2003,,2011,Partial,1992,Mandatory,,,2010,,,2014,,,,,
Guatemala,Americas,Latin America and the Caribbean,Central America,2014,Law,2003,High,2011,Partial,2001,Mandatory,2008-2012,83,2010,"Available, partially implemented","Available, partially implemented",2014,54,62,66,54,59
Guinea,Africa,Africa,Western Africa,2014,Few provisions law,2003,Medium,2011,Yes,2005,Mandatory,2011-2015,27,2010,Not available,Not available,2014,38,32,29,29,32
Guinea-Bissau,Africa,Africa,Western Africa,2014,Few provisions law,2003,,2011,No,,No fortification,2011Ð2015,34,2010,Not available,Not available,2014,21,24,27,19,23
Guyana,Americas,Latin America and the Caribbean,South America,2014,Some provisions voluntary,2003,High,2011,Partial,1992,Mandatory,2001-2010,59,2010,"Available, partially implemented","Available, fully implemented",2014,,,,,
Haiti,Americas,Latin America and the Caribbean,Caribbean,2014,Measure drafted awaiting final approval,2003,High,2011,Partial,1992,Mandatory,Until 2030,56,2010,,,2014,50,54,25,50,45
Honduras,Americas,Latin America and the Caribbean,Central America,2014,Many provisions law,2003,Medium high,2011,No,,Mandatory,2010-2022. Includes Vision 2010-2038,71,2010,Not available,Not available,2014,,,,,
Hungary,Europe,Europe,Eastern Europe,2014,Many provisions law,2003,Medium low,2011,Yes,,No fortification,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Iceland,Europe,Europe,Northern Europe,2014,No action,2003,Medium low,2011,Partial,,No fortification,,,2010,"Available, fully implemented","Available, partially implemented",2014,,,,,
India,Asia,Asia,Southern Asia,2014,Law,2003,Medium high,2011,Partial,,,2007Ð2012,5,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Indonesia,Asia,Asia,South-Eastern Asia,2014,Many provisions law,2003,Medium high,2011,Partial,,Mandatory,2010Ð2014,43,2010,"Available, partially implemented","Available, partially implemented",2014,44,50,48,35,44
Iran,Asia,Asia,Southern Asia,2014,Law,2003,High,2011,Partial,2001,Mandatory,2004-2009,58,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Iraq,Asia,Asia,Western Asia,2014,Measure drafted awaiting final approval,2003,,2011,No,2006,Mandatory,2013-2017,67,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Ireland,Europe,Europe,Northern Europe,2014,Many provisions law,2003,Medium high,2011,Yes,,No fortification,,,2010,Not available,"Available, partially implemented",2014,,,,,
Israel,Asia,Asia,Western Asia,2014,Few provisions law,2003,Medium high,2011,Yes,,No fortification,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Italy,Europe,Europe,Southern Europe,2014,Many provisions law,2003,Medium,2011,Yes,,No fortification,,,2010,"Available, not implemented","Available, partially implemented",2014,,,,,
Jamaica,Americas,Latin America and the Caribbean,Caribbean,2014,Some provisions voluntary,2003,,2011,Partial,1992,Mandatory,2030,42,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Japan,Asia,Asia,Eastern Asia,2014,Some provisions voluntary,2003,,2011,Yes,,No fortification,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Jordan,Asia,Asia,Western Asia,2014,Many provisions law,2003,,2011,No,2002,Mandatory,2011-2013,73,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Kazakhstan,Asia,Asia,Central Asia,2014,Being studied,2003,Medium,2011,Yes,2005,Mandatory,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Kenya,Africa,Africa,Eastern Africa,2014,Law,2003,,2011,Partial,2012,Mandatory,2008Ð2012,47,2010,"Available, partially implemented","Available, partially implemented",2014,35,44,39,44,41
Kiribati,Oceania,Oceania,Micronesia,2014,,2003,,2011,Partial,,,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Kuwait,Asia,Asia,Western Asia,2014,Few provisions law,2003,Medium low,2011,No,2001,Mandatory,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Kyrgyzstan,Asia,Asia,Central Asia,2014,Many provisions law,2003,Medium,2011,Yes,2009,Mandatory,2013-2017,78,2010,,,2014,29,28,45,25,32
Lao People's Democratic Republic,Asia,Asia,South-Eastern Asia,2014,Few provisions law,2003,,2011,Partial,,No fortification,2011-2015,32,2010,"Available, partially implemented","Available, partially implemented",2014,39,34,21,24,30
Latvia,Europe,Europe,Northern Europe,2014,Many provisions law,2003,Medium,2011,Yes,,No fortification,2014 - 2020,64,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Lebanon,Asia,Asia,Western Asia,2014,Law,2003,,2011,No,2006,No fortification,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Lesotho,Africa,Africa,Southern Africa,2014,Measure drafted awaiting final approval,2003,Medium low,2011,Partial,,Planning,2013Ð2017,26,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Liberia,Africa,Africa,Western Africa,2014,Some provisions voluntary,2003,Medium high,2011,,2013,Mandatory,2008Ð2011,14,2010,Not available,Not available,2014,17,22,29,19,22
Libya,Africa,Africa,Northern Africa,2014,Action to end Free Supplies only,2003,,2011,Yes,,,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Liechtenstein,Europe,Europe,Western Europe,2014,,2003,Medium low,2011,,,No fortification,,,2010,,,2014,,,,,
Lithuania,Europe,Europe,Northern Europe,2014,Being studied,2003,Medium,2011,Yes,,No fortification,2007 - 2009,83,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Luxembourg,Europe,Europe,Western Europe,2014,Many provisions law,2003,Medium low,2011,Yes,,No fortification,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Madagascar,Africa,Africa,Eastern Africa,2014,Law,2003,Medium,2011,Yes,,No fortification,2007Ð2012,15,2010,"Available, partially implemented","Available, partially implemented",2014,62,56,54,54,57
Malawi,Africa,Africa,Eastern Africa,2014,Many provisions law,2003,High,2011,No,,Planning,2006Ð2011,1,2010,Not available,Not available,2014,75,74,61,69,70
Malaysia,Asia,Asia,South-Eastern Asia,2014,Voluntary,2003,,2011,No,,Planning,2011 - 2015,83,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Maldives,Asia,Asia,Southern Asia,2014,Law,2003,Medium low,2011,,,No fortification,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Mali,Africa,Africa,Western Africa,2014,Many provisions law,2003,Medium,2011,Yes,2012,Mandatory,2007Ð2011,69,2010,"Available, partially implemented","Available, partially implemented",2014,59,46,50,40,49
Malta,Europe,Europe,Southern Europe,2014,Measure drafted awaiting final approval,2003,Medium low,2011,Yes,,No fortification,,,2010,Not available,"Available, partially implemented",2014,,,,,
Marshall Islands,Oceania,Oceania,Micronesia,2014,,2003,Medium low,2011,,,Planning,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Mauritania,Africa,Africa,Western Africa,2014,Being studied,2003,,2011,Yes,,Mandatory,2011Ð2015,11,2010,"Available, partially implemented","Available, not implemented",2014,44,42,34,40,40
Mauritius,Africa,Africa,Eastern Africa,2014,Some provisions voluntary,2003,,2011,Partial,,No fortification,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Mexico,Americas,Latin America and the Caribbean,Central America,2014,Many provisions law,2003,Medium,2011,Partial,1996,Mandatory,2014 - 2018,7,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Micronesia (Federated States of),Oceania,Oceania,Micronesia,2014,,2003,,2011,,,,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Monaco,Europe,Europe,Western Europe,2014,,2003,,2011,,,No fortification,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Mongolia,Asia,Asia,Eastern Asia,2014,Many provisions law,2003,Medium,2011,Yes,1999,Planning,2007 - 2021,63,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Montenegro,Europe,Europe,Southern Europe,2014,,2003,,2011,,,,2013 - 2016,83,2010,Not available,Not available,2014,,,,,
Morocco,Africa,Africa,Northern Africa,2014,Some provisions voluntary,2003,,2011,Yes,2005,Mandatory,2012-2016,83,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Mozambique,Africa,Africa,Eastern Africa,2014,Law,2003,Medium,2011,No,,Planning,2010-2014,2,2010,Not available,"Available, fully implemented",2014,43,34,43,39,40
Myanmar,Asia,Asia,South-Eastern Asia,2014,Measure drafted awaiting final approval,2003,,2011,Partial,,No fortification,2012-2015,37,2010,Not available,Not available,2014,33,32,33,37,34
Namibia,Africa,Africa,Southern Africa,2014,Measure drafted awaiting final approval,2003,,2011,Partial,,Voluntary,2001 - 2030,54,2010,"Available, fully implemented","Available, fully implemented",2014,54,34,43,41,43
Nauru,Oceania,Oceania,Micronesia,2014,,2003,,2011,,,Planning,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Nepal,Asia,Asia,Southern Asia,2014,Law,2003,Medium low,2011,No,2011,Mandatory,2007-2010,45,2010,Not available,Not available,2014,39,52,42,61,49
Netherlands,Europe,Europe,Western Europe,2014,Many provisions law,2003,Medium high,2011,Yes,,No fortification,,,2010,"Available, partially implemented","Available, fully implemented",2014,,,,,
New Zealand,Oceania,Oceania,Australia and New Zealand,2014,Voluntary,2003,,2011,Yes,,No fortification,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Nicaragua,Americas,Latin America and the Caribbean,Central America,2014,Many provisions law,2003,High,2011,Partial,,Mandatory,2012 - 2016,21,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Niger,Africa,Africa,Western Africa,2014,Many provisions law,2003,Medium,2011,Yes,,Mandatory,2008-2012,4,2010,Not available,Not available,2014,51,46,21,37,39
Nigeria,Africa,Africa,Western Africa,2014,Many provisions law,2003,High,2011,Partial,2002,Mandatory,2003-2007,48,2010,"Available, fully implemented","Available, fully implemented",2014,50,46,29,25,38
Norway,Europe,Europe,Northern Europe,2014,Many provisions law,2003,Medium high,2011,Yes,,No fortification,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Oman,Asia,Asia,Western Asia,2014,Many provisions law,2003,Medium low,2011,,1997,Mandatory,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Pakistan,Asia,Asia,Southern Asia,2014,Law,2003,High,2011,Partial,,No fortification,2007Ð2030,44,2010,Not available,Not available,2014,54,28,29,31,36
Palau,Oceania,Oceania,Micronesia,2014,Law,2003,,2011,,,,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Panama,Americas,Latin America and the Caribbean,Central America,2014,Law,2003,High,2011,Yes,1997,Mandatory,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Papua New Guinea,Oceania,Oceania,Melanesia,2014,Few provisions law,2003,,2011,No,,,2010 - 2030,57,2010,"Available, not implemented","Available, not implemented",2014,,,,,
Paraguay,Americas,Latin America and the Caribbean,South America,2014,Few provisions law,2003,Medium high,2011,Partial,1998,Mandatory,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Peru,Americas,Latin America and the Caribbean,South America,2014,Law,2003,Medium high,2011,Partial,2004,Mandatory,2011Ð2021,28,2010,"Available, partially implemented",Not available,2014,51,78,38,81,62
Philippines,Asia,Asia,South-Eastern Asia,2014,Law,2003,Medium,2011,No,2000,Mandatory,2011Ð2016,24,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Poland,Europe,Europe,Eastern Europe,2014,Many provisions law,2003,Medium,2011,Yes,,No fortification,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Portugal,Europe,Europe,Southern Europe,2014,Many provisions law,2003,Medium,2011,Yes,,No fortification,,,2010,"Available, not implemented","Available, fully implemented",2014,,,,,
Qatar,Asia,Asia,Western Asia,2014,Few provisions law,2003,Medium low,2011,No,,Voluntary,2011 -2016,61,2010,Not available,"Available, not implemented",2014,,,,,
Republic of Korea,Asia,Asia,Eastern Asia,2014,Few provisions law,2003,Medium high,2011,Partial,2003,No fortification,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Republic of Moldova,Europe,Europe,Eastern Europe,2014,Measure drafted awaiting final approval,2003,High,2011,Yes,2012,Mandatory,2010-2020,64,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Romania,Europe,Europe,Eastern Europe,2014,Being studied,2003,Medium high,2011,Yes,,No fortification,2013 - 2030,61,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Russian Federation,Europe,Europe,Eastern Europe,2014,Being studied,2003,Medium high,2011,Yes,,No fortification,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Rwanda,Africa,Africa,Eastern Africa,2014,Measure drafted awaiting final approval,2003,Medium,2011,Partial,2013,Mandatory,2008Ð2012,12,2010,Not available,Not available,2014,75,70,65,56,67
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Caribbean,2014,,2003,,2011,Partial,,Mandatory,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
Saint Lucia,Americas,Latin America and the Caribbean,Caribbean,2014,,2003,,2011,Partial,,Mandatory,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Caribbean,2014,,2003,,2011,Partial,,Mandatory,,,2010,,,2014,,,,,
Samoa,Oceania,Oceania,Polynesia,2014,,2003,,2011,,,,,,2010,"Available, partially implemented","Available, partially implemented",2014,,,,,
San Marino,Europe,Europe,Southern Europe,2014,,2003,,2011,Yes,,No fortification,,,2010,,,2014,,,,,
Sao Tome and Principe,Africa,Africa,Middle Africa,2014,No information,2003,Medium low,2011,No,,No fortification,,,2010,Not available,Not available,2014,,,,,
Saudi Arabia,Asia,Asia,Western Asia,2014,Law,2003,Medium low,2011,No,1971,Mandatory,2010-2014,76,2010,"Available, not implemented","Available, not implemented",2014,,,,,
Senegal,Africa,Africa,Western Africa,2014,Many provisions law,2003,Medium,2011,Yes,2009,Mandatory,2007Ð2015,6,2010,Not available,"Available, partially implemented",2014,64,62,55,62,61
Serbia,Europe,Europe,Southern Europe,2014,,2003,Medium,2011,Yes,,No fortification,2010 - 2020,83,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Seychelles,Africa,Africa,Eastern Africa,2014,,2003,Medium,2011,Yes,,No fortification,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Sierra Leone,Africa,Africa,Western Africa,2014,Measure drafted awaiting final approval,2003,Medium high,2011,,2011,Mandatory,2009Ð2012,31,2010,Not available,Not available,2014,75,58,53,44,58
Singapore,Asia,Asia,South-Eastern Asia,2014,Some provisions voluntary,2003,,2011,Yes,,No fortification,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Slovakia,Europe,Europe,Eastern Europe,2014,Being studied,2003,Medium high,2011,Yes,,No fortification,2007 - 2013,75,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Slovenia,Europe,Europe,Southern Europe,2014,Many provisions law,2003,Medium,2011,Yes,,No fortification,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Solomon Islands,Oceania,Oceania,Melanesia,2014,,2003,,2011,Partial,,,,,2010,Not available,"Available, partially implemented",2014,,,,,
Somalia,Africa,Africa,Eastern Africa,2014,No action,2003,,2011,Yes,,No fortification,,,2010,Not available,Not available,2014,,,,,
South Africa,Africa,Africa,Southern Africa,2014,Law,2003,High,2011,Yes,1972,Mandatory,2012Ð2030,83,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
South Sudan,Africa,Africa,Eastern Africa,2014,,2003,,2011,,,,,,2010,,,2014,17,22,23,19,20
Spain,Europe,Europe,Southern Europe,2014,Many provisions law,2003,Medium high,2011,Yes,,No fortification,,,2010,"Available, fully implemented","Available, fully implemented",2014,,,,,
Sri Lanka,Asia,Asia,Southern Asia,2014,Law,2003,High,2011,Partial,,No fortification,2010 - 2016,49,2010,"Available, partially implemented","Available, partially implemented",2014,46,52,52,59,52
Sudan,Africa,Africa,Northern Africa,2014,Few provisions law,2003,Medium high,2011,No,,No fortification,2007Ð2011,83,2010,"Available, not implemented","Available, partially implemented",2014,,,,,
