Country,Continent,RegionUN,SubregionUN,year_U5Anthro,stuntingRATE,wastingRATE,severewastingRATE,overweightRATE,stuntingNUMBER,wastingNUMBER,overweightNUMBER,year_LBW,LBWrate,year_stuntingtrend1,rate_stuntingtrend1,year_stuntingtrend2,rate_stuntingtrend2,year_stuntingtrend3,rate_stuntingtrend3,year_stuntingtrend4,rate_stuntingtrend4,year_stuntingtrend5,rate_stuntingtrend5,year_adolescentAnthro,overweight_adolescent,obesity_adolescent,year_WRA_thin_short,BMIbelow18_WRA_thin,Heightbelow145_WRA_short,year_adult_OWOB,OWbothsex,OWmale,OWfemale,OBbothsex,OBmale,OBfemale,year_WRAanaemia,WRAanaemia_RATE,WRAanaemia_NUMBER,year_vitaminAdef,rate_vitaminAdef,year_IodineNutrition,Class_IodineNutrition,year_bloodglucose,BGboth,BGmale,BGfemale,year_bloodpressure,BPboth,BPmale,BPfemale,year_cholesterol,cholesterol_BOTH,cholesterol_MALE,cholesterol_FEMALE,year_stunt_waste_OW,WHAtarget_Stunting1,WHAtarget_Wasting1,WHAtarget_Overweight1,year_WHAtarget_WRAanaemia,WHAtarget_WRAanaemia1
Azerbaijan,Asia,Asia,Western Asia,2006,26.8,6.8,2.2,13.9,203,51.5,105.3,2006,10,1996,28,2000,24.1,2001,18,2006,26.8,,,.,,,2006,4.2,0.5,2008,57.4,52,61.9,24.7,15.8,32.1,2011,32.7,893,.,32.1,2001,Mild iodine deficiency,2008,12.2,12.1,12.3,2008,43.4,46,41.1,2008,34.8,33.1,36,2006,Currently off course,Currently off course,Currently off course,2011,Currently off course
Bahamas,Americas,Latin America and the Caribbean,Caribbean,,,,,,,,,2005-2008,11,,,,,,,,,,,2013,44.7,21,.,,,2008,69.2,66,72.1,35,26.7,42.6,2011,23.1,22.6,.,,.,.,2008,13.2,12.7,13.7,2008,41.1,46.5,36.1,2008,51.8,49.3,53.7,,,,,2011,Currently off course
Bahrain,Asia,Asia,Western Asia,,,,,,,,,1999,8,1989,13.9,1995,13.6,,,,,,,.,,,.,,,2008,70.3,70.2,70.5,32.6,28.9,38.2,2011,37.6,115.1,.,,1999,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,13,13.5,12.1,2008,43.7,44.3,42.5,2008,53.4,52.5,54.2,,,,,2011,Currently off course
Bangladesh,Asia,Asia,Southern Asia,2011,41.4,15.7,4.1,1.9,6291.8,2386,288.8,2006,22,2004,50.5,2005,45.9,2006,45.1,2007,43.2,2011,41.4,.,,,2011,27.5,12.9,2008,7.7,7.6,7.8,1.1,1,1.3,2011,43.5,18182.6,1998,21.7,1993,Mild iodine deficiency,2008,9.5,9.2,9.9,2008,38.6,39,38.1,2008,25.7,24.9,26.4,2011,Currently off course,Currently off course,Currently off course,2011,Currently off course
Barbados,Americas,Latin America and the Caribbean,Caribbean,,,,,,,,,2005-2008,12,,,,,,,,,,,2011,31.9,14.2,.,,,2008,68.3,60.8,75.1,33.4,21.6,44.2,2011,23.1,15.9,.,6.5,,.,2008,14.1,12.8,15.2,2008,41.8,44.8,38.8,2008,42.8,39.5,45.1,,,,,2011,Currently off course
Belarus,Europe,Europe,Eastern Europe,2005,4.5,2.2,0.6,9.7,23.3,11.4,50.2,2005,4,2005,4.5,,,,,,,,,.,,,.,,,2008,56.2,56.7,55.6,23.4,19.7,26.4,2011,22.4,557.4,.,17.4,1995-98,Moderate iodine deficiency,2008,10.2,10.4,10,2008,46.6,51.2,42.3,2008,51.1,50.5,50.8,2005,,Currently on course,Currently off course,2011,Currently off course
Belgium,Europe,Europe,Western Europe,,,,,,,,,1997,,,,,,,,,,,,.,,,.,,,2008,51.5,59.8,43.1,19.1,21.2,16.9,2011,18,438.6,.,,1998,Mild iodine deficiency,2008,7.8,9.3,6.4,2008,34.8,39.3,30.4,2008,62.4,64.6,59.9,,,,,2011,Currently off course
Belize,Americas,Latin America and the Caribbean,Central America,2011,19.3,3.3,1.2,7.9,7.3,1.3,3,2011,11,1992,,2006,22.2,2011,19.3,,,,,2011,35.8,12.5,.,,,2008,71,65.4,76.6,34.9,24.4,45.4,2011,21.7,18.6,.,11.7,1994-95,Optimal iodine nutrition,2008,10.7,8.7,12.7,2008,37,41,33,2008,34,30.7,37.4,2011,Currently off course,Currently on course,Currently off course,2011,Currently off course
Benin,Africa,Africa,Western Africa,2006,44.7,8.4,3.1,11.4,728.1,136.8,185.7,2006,15,1996,39.1,2001,39.1,2006,44.7,,,,,2009,10.2,0.3,2006,8.5,1.1,2008,26.1,20.4,31.7,6.5,3.5,9.5,2011,49.6,1070.2,1999,70.7,1999,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,6.6,6.7,6.5,2008,45.3,47,43.3,2008,20.3,18.9,21.4,2006,Currently off course,Currently off course,Currently off course,2011,Currently off course
Bhutan,Asia,Asia,Southern Asia,2010,33.6,5.9,2,7.6,23.7,4.2,5.4,2010,10,1987,60.9,1999,47.7,2008,34.9,2010,33.6,,,.,,,.,,,2008,24.4,24.5,24.4,5.5,4.7,6.6,2011,43.7,84.2,1999,22,1996,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,12.2,12,12.6,2008,39.1,40.4,37.4,2008,31.6,32.2,30.6,2010,Currently off course,Currently off course,Currently off course,2011,Currently off course
Bolivia,Americas,Latin America and the Caribbean,South America,2008,27.2,1.4,0.5,8.7,346.7,17.8,110.9,2008,6,1992,,1994,37.1,1998,33.1,2003,32.5,2008,27.2,2012,21.7,4.6,2008,1.1,11.2,2008,50,40.4,58.9,18.9,10,27.1,2011,32.4,825.7,.,21.8,1996,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,9.6,8.9,10.2,2008,37.8,41.5,34.1,2008,36.2,34.3,37.7,2008,Currently off course,Currently on course,Currently off course,2011,Currently off course
Bosnia and Herzegovina,Europe,Europe,Southern Europe,2012,8.9,2.3,1.6,17.4,14.5,3.7,28.4,2011-2012,3,2000,12.1,2006,11.8,2012,8.9,,,,,.,,,.,,,2008,57.6,61.9,53.1,24.2,22.7,25.3,2011,24.3,236.9,.,13.2,1999,Optimal iodine nutrition,2008,10.9,11.4,10.4,2008,47.1,47.2,46.6,2008,39.2,38.5,39.5,2012,Currently off course,Currently on course,Currently off course,2011,Currently off course
Botswana,Africa,Africa,Southern Africa,2007,31.4,7.2,3.2,11.2,72.4,16.6,25.8,2007,13,1996,35.1,2000,29.1,2007,31.4,,,,,.,,,.,,,2008,36.2,18.3,52.3,13.5,3,22.8,2011,28.5,152.2,.,26.1,1994,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,9.1,8,10,2008,47.5,47.9,46.6,2008,37.9,36.1,38.9,2007,Currently off course,Currently off course,Currently off course,2011,Currently off course
Brazil,Americas,Latin America and the Caribbean,South America,2007,7.1,1.6,0.4,7.3,1054.8,237.7,1084.5,2010,8,1989,19.4,1996,13.5,2002,,2007,7.1,,,.,,,2008,6.2,3.6,2008,53.5,52,52.8,19.5,16.5,22.1,2011,19.6,10638.1,.,13.3,2000,"Risk of adverse health consequences (iodine induced hyperthyroidism, auto-immune thyroid diseases)",2008,10.2,10.4,10,2008,42.3,47.8,37.1,2008,44.2,44,44,2007,,Currently on course,Currently off course,2011,Currently off course
Brunei Darussalam,Asia,Asia,South-Eastern Asia,,,,,,,,,1999,10,,,,,,,,,,,.,,,.,,,2008,30.5,35.8,24.6,7.9,8.5,7.2,2011,20.4,24.7,.,,,.,2008,7.4,8.7,5.9,2008,34.4,38.2,30.2,2008,55.2,55.1,55.8,,,,,2011,Currently off course
Bulgaria,Europe,Europe,Eastern Europe,,,,,,,,,2011,9,2004,8.8,,,,,,,,,.,,,.,,,2008,54.3,61.2,47.1,21.4,22,20.4,2011,23.9,416.3,.,18.3,1996,Optimal iodine nutrition,2008,9.7,10.4,8.9,2008,44.5,48.1,40.9,2008,49.9,50.3,49,,,,,2011,Currently off course
Burkina Faso,Africa,Africa,Western Africa,2012,32.9,10.9,1.8,2.8,960.9,318.3,81.8,2010,14,2006,42.4,2009,35.1,2010,35.1,2011,34.1,2012,32.9,.,,,2010,14.2,0.3,2008,13,11.9,14.2,2.4,1.7,3,2011,49.5,1975.6,.,54.3,1999,Optimal iodine nutrition,2008,8.8,8.9,8.7,2008,45.2,45.9,44.2,2008,17.7,16.3,18.8,2012,Currently off course,Currently off course,Currently off course,2011,Currently off course
Burundi,Africa,Africa,Eastern Africa,2010,57.5,6.1,1.4,2.9,1047.6,111.1,52.8,2010,13,1987,56.2,2000,63.1,2005,57.7,2010,57.5,,,.,,,2010,12.1,4,2008,15.3,16,14.7,3.3,2.8,3.7,2011,20.9,472.4,2005,27.9,,.,2008,6.1,6.2,5.9,2008,48.8,49.7,47.6,2008,18.9,17.1,20.2,2010,Currently off course,Currently off course,Currently off course,2011,Currently on course
Cambodia,Asia,Asia,South-Eastern Asia,2010,40.9,10.8,2.8,1.9,683.1,180.4,31.7,2010,11,1996,58.6,2000,49.2,2005,43.7,2008,39.5,2010,40.9,2013,3.7,0.4,2010,18.2,5.5,2008,12.7,11.4,13.8,2.3,1.6,2.8,2011,43.8,1744,2000,22.3,,.,2008,5.1,4.7,5.2,2008,31.5,35.5,28.1,2008,30,26.9,32,2010,Currently off course,Currently off course,Currently on course,2011,Currently off course
Cameroon,Africa,Africa,Middle Africa,2011,32.6,5.8,1.9,6.5,1162.8,206.9,231.8,2006,11,1991,36.3,1998,38.2,2004,35.4,2006,36.4,2011,32.6,.,,,2011,7.7,0.7,2008,37.5,32.6,42.3,11.1,7,15.1,2011,41.5,2023.9,2000,38.8,1993,Mild iodine deficiency,2008,9.9,9.5,10.4,2008,42.6,45.2,39.8,2008,21.9,19.5,24,2011,Currently off course,Currently off course,Currently on course,2011,Currently off course
Canada,Americas,Northern America,Northern America,,,,,,,,,2000,6,,,,,,,,,,,.,,,.,,,2008,60.5,65.7,55.2,24.3,24.6,23.9,2011,16.5,1359.4,.,,,.,2008,9.6,10.9,8.3,2008,29.7,33.1,26.3,2008,53.4,53.4,52.9,,,,,2011,Currently off course
Cape Verde,Africa,Africa,Western Africa,,,,,,,,,2005,6,1985,26.8,1994,21.4,,,,,,,.,,,.,,,2008,37.6,30.8,42.6,11.5,6.3,15.3,2011,37.9,51,1996,2,1996,Mild iodine deficiency,2008,15.2,15.6,14.7,2008,50.4,53.8,47.1,2008,24.5,23.7,24.8,,,,,2011,Currently off course
Central African Republic,Africa,Africa,Middle Africa,2010,40.7,7.4,1.9,1.8,270.1,49.1,11.9,2010,14,1994,41.5,2000,44.6,2006,45.1,2010,40.7,,,.,,,1994-95,15.3,2.4,2008,16.9,12.4,20.9,3.7,2,5.3,2011,46,502.4,1999,68.2,1993-4,Moderate iodine deficiency,2008,7.7,7.3,8,2008,45.6,47.6,43.6,2008,22.2,20.3,23.7,2010,Currently off course,Currently off course,Currently on course,2011,Currently off course
Chad,Africa,Africa,Middle Africa,2010,38.7,15.7,5.9,2.8,928.5,376.7,67.2,2010,20,1997,45,2000,39.3,2004,44.8,2010,38.7,,,.,,,2004,22.5,0.2,2008,15.7,14.6,16.9,3.1,2.4,3.8,2011,46.6,1215.5,.,50.1,1993-4,Moderate iodine deficiency,2008,8.7,8.8,8.7,2008,43,45.1,40.8,2008,17.9,16.3,19.2,2010,Currently off course,Currently off course,Currently on course,2011,Currently off course
Chile,Americas,Latin America and the Caribbean,South America,2013,1.8,0.3,,10.1,22,3.7,123.4,2009,6,2004,2.4,2006,2.2,2007,2.1,2008,2,2013,1.8,2013,44.8,16.7,.,,,2008,64.9,64.2,65.7,29.1,24.5,33.6,2011,12.1,554.1,.,7.9,2001,"Risk of adverse health consequences (iodine induced hyperthyroidism, auto-immune thyroid diseases)",2008,10.3,11.2,9.5,2008,42.5,47.6,37.4,2008,48.6,48.6,48.1,2013,Currently on course,Currently on course,Currently off course,2011,Currently off course
China,Asia,Asia,Eastern Asia,2010,9.4,2.3,0.7,6.6,8347.2,2042.4,5860.8,2008,,2002,21.8,2005,11.7,2008,9.8,2009,9,2010,9.4,2003,18.6,5.9,.,,,2008,25,25.1,24.9,5.6,4.6,6.5,2011,19.6,73344.4,2002,9.3,2002,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,9.5,9.6,9.4,2008,38.6,40.8,36.3,2008,33.4,31.5,35.1,2010,Currently on course,Currently on course,Currently off course,2011,Currently off course
Colombia,Americas,Latin America and the Caribbean,South America,2010,12.7,0.9,0.2,4.8,572,40.5,216.2,2005,6,1989,21.8,1995,19.7,2000,18.1,2005,16.2,2010,12.7,.,,,2010,4.4,3.1,2008,49.6,44.9,53.8,18.1,11.9,23.7,2011,19.5,2473.7,2005,5.9,1994-8,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,6.4,6.7,6.1,2008,40.1,43.9,36.6,2008,42.4,41.1,43.2,2010,Currently on course,Currently on course,Currently on course,2011,Currently on course
Comoros,Africa,Africa,Eastern Africa,2012,32.1,11.1,3.8,10.9,36.9,12.8,12.5,2000,25,1992,38.5,1996,40,2000,46.9,2012,32.1,,,.,,,1996,10.3,3.8,2008,20.1,19.4,21.1,4.4,3.5,5.3,2011,30.8,55,.,21.5,,.,2008,7.8,7.9,7.6,2008,47.1,48.7,45.3,2008,24,22.7,25,2012,Currently off course,Currently off course,Currently off course,2011,Currently off course
Congo (Republic of the),Africa,Africa,Middle Africa,2011,25,5.9,1.5,3.6,179.7,42.4,25.9,2005,13,1987,30.1,2005,31.2,2011,25,,,,,.,,,2005,12.8,4.8,2008,22.1,16.9,27,5.3,2.8,7.5,2011,50.7,507.8,.,24.6,,.,2008,8.1,7.8,8.5,2008,46.7,48.3,45,2008,29,26.7,30.7,2011,Currently off course,Currently off course,Currently on course,2011,Currently off course
Costa Rica,Americas,Latin America and the Caribbean,Central America,2008,5.6,1,,8.1,20.4,3.6,29.5,2011,7,1992,,1993,,1994,,1996,8.2,2008,5.6,2009,27.8,8.9,.,,,2008,59.6,60.3,58.8,24.6,20.9,28.3,2011,19,245.5,1999,8.8,1996,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,10.2,10.1,10.2,2008,37.8,42.5,32.9,2008,41.1,37.4,44.6,2008,,Currently on course,Currently off course,2011,Currently off course
Cote d'Ivoire,Africa,Africa,Western Africa,2012,29.6,7.6,1.8,3.2,919.2,236,99.4,2006,17,1994,34.2,1998,31.5,2006,40.1,2007,39,2012,29.6,.,,,2011-12,5.8,1,2008,26.9,21.8,32.3,6.7,3.9,9.7,2011,48.8,2302.1,1996,57.3,1999-00,Optimal iodine nutrition,2008,9.4,9.2,9.7,2008,47.1,49.3,44.8,2008,21,19.2,22.8,2012,Currently off course,Currently off course,Currently on course,2011,Currently off course
Croatia,Europe,Europe,Southern Europe,,,,,,,,,2011,5,,,,,,,,,,,.,,,.,,,2008,53.2,61.6,44.6,21.3,22.8,19.4,2011,24.5,249.7,.,9.2,2002,Optimal iodine nutrition,2008,9.3,10.2,8.4,2008,46.7,49.8,43.4,2008,49.8,49.4,49.7,,,,,2011,Currently off course
Cuba,Americas,Latin America and the Caribbean,Caribbean,,,,,,,,,2012,5,2000,7,,,,,,,,,.,,,.,,,2008,52.8,47.5,57.9,20.5,13.3,27.5,2011,23.4,690,2000,3.6,1995,Mild iodine deficiency,2008,11.7,11.3,12,2008,41.1,43.4,38.8,2008,31.9,27.9,35.5,,,,,2011,Currently off course
Cyprus,Asia,Asia,Western Asia,,,,,,,,,.,,,,,,,,,,,,.,,,.,,,2008,55.9,64.6,47.6,23.4,24.8,21.9,2011,27.7,79.3,.,,,.,2008,8.4,10.2,6.8,2008,37,42.4,32,2008,57.1,58.7,55.5,,,,,2011,Currently off course
Czech Republic,Europe,Europe,Eastern Europe,,,,,,,,,2001,7,1991,3.1,2001,2.6,,,,,,,.,,,.,,,2008,61.7,69.9,53.1,28.7,30.5,26.5,2011,22.5,570.3,.,5.8,2000,Optimal iodine nutrition,2008,10.3,11.5,9.1,2008,42.7,47.6,37.6,2008,53.9,54.4,52.7,,,,,2011,Currently off course
Democratic People's Republic of Korea,Asia,Asia,Eastern Asia,2012,27.9,4,0.6,0,477.8,68.5,0,2009,6,2000,51,2002,44.7,2004,43.1,2009,32.4,2012,27.9,.,,,.,,,2008,17.4,19.6,15.3,3.8,3.7,3.9,2011,25,1616.9,.,27.5,,.,2008,7.6,7.7,7.5,2008,36.5,38.5,34.3,2008,26.4,24,28.1,2012,Currently on course,Currently on course,,2011,Currently off course
Democratic Republic of the Congo,Africa,Africa,Middle Africa,2010,43.5,8.5,2.8,4.9,5067.7,990.2,570.8,2010,10,1995,51,2001,44.4,2007,45.8,2010,43.5,,,.,,,2007,16.4,3.4,2008,10.5,6.1,14.5,1.9,0.7,3,2011,49,7552.2,1999,61.1,1995,Risk of iodine-induced hyperthyroidism within 5Ð10 years following introduction of iodized salt in susceptible groups,2008,7.3,6.6,7.8,2008,44.8,46.9,42.7,2008,16.1,14.2,17.6,2010,Currently off course,Currently off course,Currently on course,2011,Currently off course
Denmark,Europe,Europe,Northern Europe,,,,,,,,,2001,5,,,,,,,,,,,.,,,.,,,2008,48.4,54.6,42.1,16.2,17.1,15.4,2011,18,226,.,,1997-8,Mild iodine deficiency,2008,7.3,8.8,5.9,2008,34.5,40.6,28.4,2008,65.2,68.3,61.8,,,,,2011,Currently off course
Djibouti,Africa,Africa,Eastern Africa,2012,33.5,21.5,9.1,8.1,35.9,23,8.7,2006,10,1989,28,1996,31.7,2002,26.5,2006,32.6,2012,33.5,2007,16.3,4.6,.,,,2008,33.9,30.2,37.4,10.4,6.7,13.8,2011,27.1,64.6,.,35.2,,.,2008,9.5,9.7,9.4,2008,44.7,47.3,41.9,2008,36.7,36.8,36.3,2012,Currently off course,Currently off course,Currently off course,2011,Currently off course
Dominica,Americas,Latin America and the Caribbean,Caribbean,,,,,,,,,2005-2008,10,,,,,,,,,,,2009,24.8,9.1,.,,,2008,56.7,41.4,71.2,25,10.1,39.1,2011,25.5,4.8,1997,4.2,,.,2008,18.3,15.6,20.7,2008,46.9,49.6,44.2,2008,37.9,31.7,43.4,,,,,2011,Currently off course
Dominican Republic,Americas,Latin America and the Caribbean,Caribbean,2007,10.1,2.3,0.9,8.3,107.6,24.5,88.5,2007,11,1996,13.9,2000,8,2002,11.7,2006,10.5,2007,10.1,.,,,1996,6.1,2.4,2008,55.4,49.6,61.1,21.9,14.4,29.3,2011,26,681.6,.,13.7,1993,Moderate iodine deficiency,2008,8.5,8,9,2008,41.9,44.7,39.2,2008,32.1,28,36.2,2007,Currently off course,Currently on course,Currently off course,2011,Currently off course
Ecuador,Americas,Latin America and the Caribbean,South America,2012,25.3,2.4,,,404.5,38.4,,2009,8,1986,40.2,1998,32.5,2004,29,2012,25.3,,,.,,,.,,,2008,56,51.8,60.2,22,15.7,28.2,2011,24.3,936.2,.,14.7,1999,"Risk of adverse health consequences (iodine induced hyperthyroidism, auto-immune thyroid diseases)",2008,9.5,9.2,9.8,2008,38.6,42.7,34.6,2008,39.8,38.2,41.2,2012,Currently off course,Currently on course,,2011,Currently off course
Egypt,Africa,Africa,Northern Africa,2008,30.7,7.9,3.8,20.5,2805.7,722,1873.5,2008,13,1998,26.3,2000,24.6,2003,20.3,2005,23.8,2008,30.7,2011,32.5,7,2008,0.6,0.8,2008,69.8,62.4,76.9,34.6,22.5,46.3,2011,34.5,7384.4,1995,11.9,1998,Optimal iodine nutrition,2008,7.2,7,7.4,2008,38.1,38.8,37.4,2008,39.9,33.9,45.3,2008,Currently off course,Currently off course,Currently off course,2011,Currently off course
El Salvador,Americas,Latin America and the Caribbean,Central America,2008,20.6,1.6,0.5,5.7,128.3,10,35.5,2011-2012,9,1988,36.7,1993,29.5,1998,32.3,2003,24.6,2008,20.6,2013,28.9,9.9,.,,,2008,62.5,59.1,65.6,26.9,20.2,32.9,2011,23.5,407.3,.,14.6,1996-7,Optimal iodine nutrition,2008,11,11.3,10.7,2008,35.2,39.4,31.4,2008,34.9,31.4,37.7,2008,Currently on course,Currently on course,Currently on course,2011,Currently off course
Equatorial Guinea,Africa,Africa,Middle Africa,2010,26.2,3.1,1.7,9.7,29.3,3.5,11,2000,13,1997,38.7,2000,42.6,2004,35,2010,26.2,,,.,,,.,,,2008,36.1,33,38.9,11.5,7.9,14.8,2011,45.4,77.2,.,13.9,,.,2008,8.7,8.7,8.7,2008,47.6,50.6,44.7,2008,40.9,39.8,41.8,2010,Currently off course,Currently on course,Currently off course,2011,Currently off course
Eritrea,Africa,Africa,Eastern Africa,2010,50.3,15.3,4.2,1.9,522.3,158.9,19.7,2002,14,1993,69.6,1995,47.8,2002,43.7,2010,50.3,,,.,,,2002,38.1,2.3,2008,10.7,9.6,11.4,1.8,1.3,2.3,2011,32.8,450.9,.,21.4,1998,Optimal iodine nutrition,2008,7.5,7.8,7.3,2008,40.5,42.7,38.2,2008,21.4,21,21.5,2010,Currently off course,Currently off course,Currently off course,2011,Currently off course
Estonia,Europe,Europe,Northern Europe,,,,,,,,,2001,4,,,,,,,,,,,.,,,.,,,2008,51,57.8,45,18.9,20.2,17.6,2011,24,77.3,.,8.7,1995,Mild iodine deficiency,2008,8.4,9,7.8,2008,47.3,52.9,42.4,2008,56.7,56,56.7,,,,,2011,Currently off course
Ethiopia,Africa,Africa,Eastern Africa,2011,44.2,10.1,2.9,1.8,6232.6,1424.2,253.8,2005,20,1992,66.9,2000,57.4,2005,50.7,2011,44.2,,,.,,,2011,23.9,2.4,2008,8,7.1,9,1.2,0.9,1.6,2011,19.2,3978.6,1996-7,46.1,2000,Mild iodine deficiency,2008,7.1,7.3,7,2008,41.1,43.2,39,2008,21.3,21,21.5,2011,Currently off course,Currently off course,Currently on course,2011,Currently off course
Fiji,Oceania,Oceania,Melanesia,,,,,,,,,2004,10,1993,4.3,2004,7.5,,,,,,,2010,19.2,5.2,.,,,2008,66.6,60.1,72.9,31.9,21.3,42.2,2011,26.8,60.5,.,13.6,1994,Moderate iodine deficiency,2008,14.8,13.2,16.4,2008,41.6,43.2,39.7,2008,53.2,56.4,49.7,,,,,2011,Currently off course
Finland,Europe,Europe,Northern Europe,,,,,,,,,2001,4,,,,,,,,,,,.,,,.,,,2008,53,59.6,46.2,19.9,21,18.6,2011,17.7,205.8,.,,1997,Optimal iodine nutrition,2008,8.1,10.3,6.3,2008,41.9,47.4,36.3,2008,59,57.5,59.3,,,,,2011,Currently off course
